orig.ident,nCount_RNA,nFeature_RNA,Sample,Condition,Doublet,cell_type_1,S.Score,G2M.Score,Phase,nCount_SCT,nFeature_SCT,SCT_snn_res.0.5,seurat_clusters,percent.mt,percent.rib,RNA_snn_res.0.6,RNA_snn_res.0.8,RNA_snn_res.1,RNA_snn_res.1.2,RNA_snn_res.1.4,Celltypes,CelltypesDetailed,RNA_DebrisFilt_res1,cell_class,AddModuleScore_FA95,AddModuleScore_FA96,FA_95_UCell,FA_96_UCell,UMAP_1,UMAP_2
snRNA_MCAO_all,8246.88113734905,3324,sn_sham,Ctrl,Singlet,GABAergic 1,-0.00108982568641535,-0.0289378263417399,G1,6952,3240,1,2,0.197293398865209,0.206296371010411,2,2,2,1,2,NeuronsGABA,NeuronsGABA2,2,Neuron,-0.0164550671835739,-0.0140057563069144,0.0495722778019428,0.049072798254679,-8.452548437708455,-9.158489978944257
snRNA_MCAO_all,13118.4767384428,4229,sn_sham,Ctrl,Singlet,Neuro 1,-0.0254017813105572,-0.0227400051713289,G1,6820,3267,2,1,0.0249278083394565,0.085250440898797,1,1,1,0,1,NeuronsGABA,NeuronsGABA1,1,Neuron,-0.0241421495775309,-0.0219237485517277,0.0383572567783094,0.0379707773567574,-7.764874868982869,-2.470220840608074
snRNA_MCAO_all,1963.5762194011,1204,sn_sham,Ctrl,Singlet,OLIGO,0.00366208711702377,0.0322351135545163,G2M,5148,1564,0,0,0.0728499280830686,0.315868762980602,0,0,0,3,0,OLs,OLs1,0,Oligodendrocyte,0.0293936373303959,0.0594355269514609,0.0358489198202117,0.0393414858192674,12.309592790013713,3.4075979822526437
snRNA_MCAO_all,3012.52090301717,1726,sn_sham,Ctrl,Singlet,ASTRO,-0.0316059104160417,-0.00603909699637835,G1,5235,1836,4,5,0.442814201861835,0.237425260536407,4,4,4,5,4,Astrocytes,Astrocytes,5,Astrocyte,0.0887119816192938,0.10343786750622,0.0683630564013339,0.0701214261109198,3.696131295567912,-9.411684787904218
snRNA_MCAO_all,3824.622791047,2108,sn_sham,Ctrl,Singlet,Glutamatergic 3,0.0256040581012776,0.0285103780957,G2M,5532,2102,5,4,0.167262171003904,0.257275329704485,6,5,5,4,3,NeuronsGLUT,NeuronsGLUT1,4,Neuron,0.0317180570114536,0.0316584279152226,0.0523633463824852,0.0518357446319899,-2.508898192041951,14.813218318785236
snRNA_MCAO_all,5901.23622186273,2429,sn_sham,Ctrl,Singlet,Glutamatergic 4,-0.0205283505389862,-0.022536186941155,G1,6166,2410,7,3,6.6668696962701e-4,0.195962538558966,3,3,3,7,8,NeuronsGLUT,NeuronsGLUT3,3,Neuron,-0.0058256008392919,-0.00586900297705181,0.0484123531970422,0.0479245607991733,2.6084637111486617,8.363590442503497
snRNA_MCAO_all,6107.78324444139,2772,sn_sham,Ctrl,Singlet,GABAergic 1,-0.0351992935999715,0.0197034790792271,G2M,6312,2745,1,2,0.318329870648947,0.096672277646125307,2,2,2,1,2,NeuronsGABA,NeuronsGABA2,2,Neuron,-0.00964234869121233,-0.0119661175139411,0.0313034652747571,0.0309880583304627,-8.330747061365681,-9.161354816590741
snRNA_MCAO_all,1397.97988807519,922,sn_sham,Ctrl,Singlet,OLIGO,-0.0208278052725491,0.0128330830999,G2M,4885,1539,0,0,0.531411473825127,0.693364677357226,0,0,0,3,0,OLs,OLs1,0,Oligodendrocyte,0.0472953844979593,0.0499940442401411,0.0403363781354212,0.0399299575152141,11.985098428136272,1.1058902376542548
snRNA_MCAO_all,5694.00539344527,2767,sn_sham,Ctrl,Singlet,GABAergic 4,-0.0106600180173315,8.277707011309e-4,G2M,6051,2736,14,7,0.0658140757880023,0.0823672782102161,9,8,8,8,6,NeuronsGABA,NeuronsGABA3,7,Neuron,-0.0396590182608527,-0.0353634415759377,0.0383862548934319,0.0379994832931451,-2.6550874048410233,-0.704633868371441
snRNA_MCAO_all,1456.09398155557,978,sn_sham,Ctrl,Singlet,NB,0.0431218624205482,0.0415252896389439,S,4980,1525,24,12,0.419664221030285,0.796031397342931,15,12,12,13,24,Neuroblasts,Neuroblasts,12,Neuron,-0.0370217724232929,-0.0357424736761083,0.0201863128896622,0.0199829199678494,3.65488798082487,-6.956689632569744
