"","UMAP_1","UMAP_2","cell_type_1","Condition","scissor"
"72",0.0294632381262008,9.35471745666365,"Glutamatergic 2","7DPI","Scissor-"
"73",0.424884504681987,5.89815827545028,"Glutamatergic 4","7DPI","Scissor-"
"74",3.1771922773184,9.0989477270494,"Glutamatergic 6","7DPI","Scissor-"
"75",-7.87122862874849,-11.0662906533827,"GABAergic 1","7DPI","Scissor-"
"76",-5.73216240941866,-0.482387400304272,"Neuro 1","7DPI","Background"
"77",-7.99843638479097,-2.73043445411821,"Neuro 1","7DPI","Background"
"78",0.802930868274135,-12.5692613488783,"VLMC","7DPI","Background"
"79",13.0741134351553,3.29040023025374,"OLIGO","7DPI","Background"
"80",-6.85302727758272,-1.76079109970231,"Neuro 1","7DPI","Background"
"81",4.7304845517935,-9.90884951416154,"ASTRO","7DPI","Background"
"82",13.0672908490957,1.21539916929107,"OLIGO","7DPI","Background"
"83",3.35895735681669,-10.0335424310317,"ASTRO","7DPI","Background"
"84",11.7809196180166,0.685504817331837,"OLIGO","7DPI","Background"
"85",11.8955856031241,2.0226091974626,"OLIGO","7DPI","Background"
"86",-7.99906962453707,-10.8005826837172,"GABAergic 1","7DPI","Scissor-"
"87",3.46185070932524,-8.86462096038957,"ASTRO","7DPI","Background"
"88",-6.00725882589205,-1.60628572765489,"Neuro 1","7DPI","Background"
"89",1.44840491474287,6.64251252349715,"Glutamatergic 4","7DPI","Scissor-"
"90",3.90256268442289,-9.21720389190812,"ASTRO","7DPI","Background"
"91",1.35068727195875,-8.69042090240617,"ASTRO","7DPI","Background"
"92",-1.4850506120859,7.86906024154525,"Glutamatergic 8","7DPI","Scissor-"
"93",5.07061678827421,-13.8144271737685,"PER/Endo","7DPI","Background"
"94",-9.00094359456881,-9.19472197357316,"GABAergic 1","7DPI","Scissor-"
"95",-1.70790832578524,14.121600353087,"Glutamatergic 3","7DPI","Scissor-"
"96",-0.234963589304524,5.02585574325423,"Glutamatergic 4","7DPI","Scissor-"
"97",-1.15030198633059,8.31816407379012,"Glutamatergic 8","7DPI","Scissor-"
"98",5.32138688028471,-13.6518524057021,"PER/Endo","7DPI","Background"
"99",-4.51360409795626,14.2670909994493,"Glutamatergic 3","7DPI","Scissor-"
"100",-8.50471442281588,-6.85875586334367,"GABAergic 1","7DPI","Background"
"101",11.6570592588247,0.0929425292859534,"OLIGO","7DPI","Background"
"102",1.01852653086798,-12.5622966653456,"VLMC","7DPI","Background"
"103",-3.17020481168612,14.4677717321763,"Glutamatergic 3","7DPI","Scissor-"
"104",0.949359945064944,-9.33722571197648,"EPEN","7DPI","Background"
"105",0.543472773438853,9.27210541900496,"Glutamatergic 2","7DPI","Scissor-"
"106",12.2135396665396,3.98558231529097,"OLIGO","7DPI","Background"
"107",3.18318254411833,1.44686444934706,"MG","7DPI","Background"
"108",12.4817319577994,1.26117297347884,"OLIGO","7DPI","Background"
"109",12.2075887388052,2.81259366210799,"OLIGO","7DPI","Background"
"110",3.6035199827017,-9.35339144531389,"ASTRO","7DPI","Background"
"111",-7.77302973806246,-6.63080433670182,"GABAergic 3","7DPI","Background"
"112",-7.574080877894,-2.45623449150224,"Neuro 1","7DPI","Background"
"113",-1.19562941133364,5.15858098205428,"Glutamatergic 5","7DPI","Scissor-"
"114",-6.88060229360445,-0.26938054624696,"Neuro 1","7DPI","Background"
"115",13.0029245084585,1.75922664340834,"OLIGO","7DPI","Background"
"116",12.0659576124014,3.09509750541549,"OLIGO","7DPI","Background"
"117",0.14871419132368,5.46088095840316,"Glutamatergic 4","7DPI","Scissor-"
"118",5.26465613306181,-9.05459097686906,"OLIGO","7DPI","Background"
"119",6.08185679376738,-13.9069879418959,"PER/Endo","7DPI","Background"
"120",4.25005704820768,0.473055281604336,"MG","7DPI","Background"
"121",-2.28521817266329,14.4331352346788,"Glutamatergic 3","7DPI","Background"
"122",1.11262444317953,8.40242787536483,"Glutamatergic 2","7DPI","Scissor-"
"123",-7.44155257284029,-10.5891645318617,"GABAergic 1","7DPI","Scissor-"
"124",2.22083706319944,7.73230000671248,"Glutamatergic 4","7DPI","Scissor-"
"125",-7.96633093892916,-5.01384953323503,"GABAergic 3","7DPI","Background"
"126",12.9142585462393,2.80730839904647,"OLIGO","7DPI","Background"
"127",0.824755466586513,-12.5816800958266,"VLMC","7DPI","Background"
"128",-1.92301171361788,14.6555730932603,"Glutamatergic 3","7DPI","Background"
"129",-3.85686629354342,12.5709316366563,"Glutamatergic 10","7DPI","Scissor-"
"130",12.5784421628775,1.46304818328719,"OLIGO","7DPI","Background"
"131",0.515576071149272,9.56875153716902,"Glutamatergic 2","7DPI","Scissor-"
"132",-5.12304728566988,0.11082703706126,"Neuro 1","7DPI","Background"
"133",-7.63971751272066,-6.83410767379899,"GABAergic 3","7DPI","Background"
"134",-0.920178704851704,8.75801201995711,"Glutamatergic 2","7DPI","Scissor-"
"135",12.160221642858,2.67128440078597,"OLIGO","7DPI","Background"
"136",3.86996538103239,1.7739257448564,"MG","7DPI","Background"
"137",12.5469794935049,1.50656171974044,"OLIGO","7DPI","Background"
"138",4.37840992868559,0.761685454214619,"MG","7DPI","Background"
"139",-3.90393441259249,-0.0685645109762689,"Neuro 1","7DPI","Background"
"140",-8.2330393129526,-7.68704871002336,"GABAergic 1","7DPI","Background"
"141",11.6445956891836,1.2844386928926,"OLIGO","7DPI","Background"
"142",12.6735664075674,0.25040550802152,"OLIGO","7DPI","Background"
"143",11.6190782254996,1.4669588440309,"OLIGO","7DPI","Background"
"144",-0.739182763689595,4.34739085372786,"Glutamatergic 4","7DPI","Scissor-"
"145",12.0467563337149,1.04988732274871,"OLIGO","7DPI","Background"
"146",11.8131108945669,-0.543086982404186,"OLIGO","7DPI","Background"
"147",-7.74858992635592,-9.76369074646135,"GABAergic 1","7DPI","Background"
"148",-9.2286915117441,-9.13528040710588,"GABAergic 1","7DPI","Scissor-"
"149",-6.57890646993502,-0.766732133065655,"Neuro 1","7DPI","Background"
"150",-0.109812014692861,8.63047238525252,"Glutamatergic 2","7DPI","Scissor-"
"151",-2.60302012502535,14.3181278341661,"Glutamatergic 3","7DPI","Scissor-"
"152",7.88662011087553,-9.38999346557756,"OPC","7DPI","Background"
"153",-3.97094767629488,12.5185930364976,"Glutamatergic 10","7DPI","Scissor-"
"154",-3.40355008184298,-0.104121155177548,"GABAergic 4","7DPI","Background"
"155",2.86284596384184,8.76328679260115,"Glutamatergic 6","7DPI","Scissor-"
"156",-7.54222434102877,-2.21467236343522,"Neuro 1","7DPI","Background"
"157",1.07573936045782,6.5196749800096,"Glutamatergic 4","7DPI","Scissor-"
"158",-0.0740629965005692,9.59624692138533,"Glutamatergic 2","7DPI","Scissor-"
"159",3.11648208559172,-8.45566347900529,"ASTRO","7DPI","Background"
"160",3.99178702295439,0.991025113428638,"MG","7DPI","Background"
"161",-6.96043150960787,-9.51419047180314,"GABAergic 1","7DPI","Background"
"162",-8.03051703512056,-6.7438576585402,"GABAergic 1","7DPI","Scissor-"
"163",1.36121065080778,8.76502915557723,"Glutamatergic 6","7DPI","Scissor-"
"164",12.9333682721914,1.38646706279616,"OLIGO","7DPI","Background"
"165",11.5657296842398,0.545146726931141,"OLIGO","7DPI","Background"
"166",3.58702952325956,-7.364314830934,"NB","7DPI","Background"
"167",4.00684363306181,1.60821982559066,"MG","7DPI","Background"
"168",-1.68562334119661,0.330883071685837,"GABAergic 2","7DPI","Background"
"169",1.02631349027769,6.48793860610823,"Glutamatergic 4","7DPI","Scissor-"
"170",-1.82141321241243,14.1283504598985,"Glutamatergic 3","7DPI","Scissor-"
"171",12.2372699445547,0.835397505129383,"OLIGO","7DPI","Background"
"172",4.5158050721945,1.78695257839064,"MG","7DPI","Background"
"173",11.7013955777945,4.05471130546431,"OLIGO","7DPI","Background"
"174",4.02872330606596,0.998138450945423,"MG","7DPI","Background"
"175",-2.68310015737398,-0.0532634920229456,"GABAergic 2","7DPI","Background"
"176",11.7229028409781,0.883133434618519,"OLIGO","7DPI","Background"
"177",-8.22615569173677,-7.40355709854264,"GABAergic 1","7DPI","Background"
"178",-8.31673472463472,-5.60347298446794,"GABAergic 1","7DPI","Scissor-"
"179",-2.31834023534639,6.85149880584578,"Glutamatergic 9","7DPI","Scissor-"
"180",13.2665067380728,2.77281900581221,"OLIGO","7DPI","Background"
"181",8.26690394342558,-9.73726538482805,"OPC","7DPI","Background"
"182",0.174231893426341,5.45237752136092,"Glutamatergic 4","7DPI","Scissor-"
"183",-8.43398135244234,-10.0112550622572,"GABAergic 1","7DPI","Scissor-"
"184",-8.64931433736666,-10.9695041543593,"GABAergic 1","7DPI","Scissor-"
"185",3.98735958994047,1.8333774441133,"MG","7DPI","Background"
"186",-4.11197989522799,13.8933527105699,"Glutamatergic 3","7DPI","Scissor-"
"187",11.8960815137686,-0.34435544077058,"OLIGO","7DPI","Background"
"188",4.69064146936552,-10.4352386361708,"ASTRO","7DPI","Background"
"189",2.87076312959806,-8.1831796533217,"ASTRO","7DPI","Background"
"190",3.47173602045195,1.50327702697615,"MG","7DPI","Background"
"191",11.9458118146719,2.93236919578414,"OLIGO","7DPI","Background"
"192",11.6980825132193,-0.586429155503704,"OLIGO","7DPI","Background"
"193",-7.97150748311861,-9.09989718261857,"GABAergic 1","7DPI","Background"
"194",3.27794105470793,0.229054325188206,"MG","7DPI","Background"
"195",-8.99033110677584,-9.86984423462053,"GABAergic 1","7DPI","Scissor-"
"196",-7.77397769033297,-2.42619971099992,"GABAergic 3","7DPI","Background"
"197",12.833748406774,0.124599874878929,"OLIGO","7DPI","Background"
"198",-7.1097425752817,-4.78803185287614,"GABAergic 5","7DPI","Background"
"199",7.60971600473539,-10.0648925668349,"OPC","7DPI","Background"
"200",-0.209498279684621,2.8124634855638,"Glutamatergic 7","7DPI","Scissor-"
"201",-7.1319650942026,-9.71289423767228,"GABAergic 1","7DPI","Background"
"202",-2.91340129911287,-0.0137185818304559,"GABAergic 2","7DPI","Background"
"203",11.7367921537222,1.82036169704299,"OLIGO","7DPI","Background"
"204",1.91338390768186,9.22186585601668,"Glutamatergic 2","7DPI","Scissor-"
"205",-9.04110663472994,-10.7552974588027,"GABAergic 1","7DPI","Scissor-"
"206",11.5087323850455,-0.13196570340295,"OLIGO","7DPI","Background"
"207",0.467035985595149,7.74603577789168,"Glutamatergic 2","7DPI","Scissor-"
"208",-2.88190835058077,4.55938740905623,"Glutamatergic 5","7DPI","Scissor-"
"209",-8.12633650838717,-10.7234189874281,"GABAergic 1","7DPI","Background"
"210",11.4946885770621,-0.795415795480206,"OLIGO","7DPI","Background"
"211",-7.95111315786226,-2.09073761764665,"Neuro 1","7DPI","Background"
"212",0.240332133180064,5.48417969879012,"Glutamatergic 4","7DPI","Scissor-"
"213",-2.09000509321077,6.64034863647322,"Glutamatergic 9","7DPI","Scissor-"
"214",11.8443046277823,0.186285109187172,"OLIGO","7DPI","Background"
"215",0.0369580453695479,5.32050772842269,"Glutamatergic 4","7DPI","Scissor-"
"216",-8.69586222707613,-10.7478769189467,"GABAergic 1","7DPI","Scissor-"
"217",-9.00109808980806,-8.5074622995009,"GABAergic 1","7DPI","Scissor-"
"218",-9.06140177785738,-8.71060351196428,"GABAergic 1","7DPI","Scissor-"
"219",7.76723391473906,-9.7336414224257,"OPC","7DPI","Background"
"220",-0.213929348581868,2.73803874191146,"Glutamatergic 7","7DPI","Scissor-"
"221",8.08750683725492,-10.0205686456313,"OPC","7DPI","Background"
"222",-8.90025561391695,-10.0926196939101,"GABAergic 1","7DPI","Scissor-"
"223",-8.02961581289156,-2.40685132805009,"Neuro 1","7DPI","Scissor-"
"224",0.912504172927302,-12.686468876039,"VLMC","7DPI","Background"
"225",4.3330932325186,-10.1460330850234,"ASTRO","7DPI","Background"
"226",11.7742877668204,3.12959452804427,"OLIGO","7DPI","Background"
"227",1.33554202974455,-8.69620875183244,"ASTRO","7DPI","Background"
"228",-3.37693350850924,14.9621460073839,"Glutamatergic 3","7DPI","Background"
"229",-2.39860122739657,-0.719584203397228,"GABAergic 4","7DPI","Background"
"230",11.9994826978506,0.273190042863295,"OLIGO","7DPI","Background"
"231",3.90529353082792,-9.76619223419328,"ASTRO","7DPI","Background"
"232",-0.547324352854329,4.42645331558089,"Glutamatergic 5","7DPI","Scissor-"
"233",3.93052966058866,-9.90485743347307,"ASTRO","7DPI","Background"
"234",5.03944928110258,-14.0735061532607,"PER/Endo","7DPI","Background"
"235",8.09667546213285,-9.98742655578752,"OPC","7DPI","Background"
"236",13.0749822324576,0.828482055033253,"OLIGO","7DPI","Background"
"237",0.0810762709440414,9.18364068206649,"Glutamatergic 6","7DPI","Scissor-"
"238",12.2791934675039,-0.367553389703228,"OLIGO","7DPI","Background"
"239",0.293167836076182,9.12246628936629,"Glutamatergic 9","7DPI","Scissor-"
"240",-7.74591963826998,-10.1432674295058,"GABAergic 1","7DPI","Scissor-"
"241",3.3869672483267,9.04226132568221,"Glutamatergic 6","7DPI","Scissor-"
"242",-8.8243192964731,-10.4592426187148,"GABAergic 1","7DPI","Scissor-"
"243",-6.04530184804781,0.065292962754772,"Neuro 1","7DPI","Background"
"244",-0.773540788286763,5.14012595352034,"Glutamatergic 5","7DPI","Scissor-"
"245",11.5280214017691,-0.662948942815258,"OLIGO","7DPI","Background"
"246",-6.8925794893442,-2.03242043319841,"Neuro 1","7DPI","Background"
"247",-8.56432860433443,-2.96302226844926,"Neuro 1","7DPI","Background"
"248",4.38675887048857,0.677292966211841,"MG","7DPI","Background"
"249",12.5867400831045,3.19314476188521,"OLIGO","7DPI","Background"
"250",4.5600903695883,1.70626970466475,"MG","7DPI","Background"
"251",-7.4297994905649,-1.85271862808366,"Neuro 1","7DPI","Background"
"252",-2.99861805974825,7.73398896392684,"Glutamatergic 2","7DPI","Scissor-"
"253",12.7042098707022,3.59252115424971,"OLIGO","7DPI","Background"
"254",-2.39555996000155,14.5404150122056,"Glutamatergic 3","7DPI","Scissor-"
"255",-2.98673623144014,14.5079614752183,"Glutamatergic 3","7DPI","Scissor-"
"256",7.14299303949491,-8.9126136666884,"MG","7DPI","Background"
"257",-9.29957812368258,-8.97431639495988,"GABAergic 1","7DPI","Scissor-"
"258",3.17105037630217,-9.1347701913466,"ASTRO","7DPI","Background"
"259",7.81412035883085,-9.88224486175676,"OPC","7DPI","Background"
"260",-1.19568102895601,9.51689454254012,"Glutamatergic 3","7DPI","Scissor-"
"261",3.0981922811331,-8.90192774597307,"ASTRO","7DPI","Background"
"262",2.95855647981779,-8.20960310760637,"ASTRO","7DPI","Background"
"263",1.24183434904234,6.17188235458236,"Glutamatergic 4","7DPI","Scissor-"
"264",0.427186644679469,9.55357094940047,"Glutamatergic 2","7DPI","Scissor-"
