sample,group,species,platform,data_type,tissue
3100083_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100191_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100068_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100060_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100138_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100135_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100195_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100058_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100025_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100112_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100039_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100124_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100113_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100031_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100157_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100023_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100114_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100066_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100076_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100118_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100048_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100137_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100042_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100034_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100193_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100077_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100197_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100041_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100036_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100050_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100121_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100061_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100035_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100117_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100126_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100047_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100044_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100084_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
3100021_Stroke,Stroke,Human,GPL6883,Illumina_microarray,Peripheral_Blood
212413_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
212414_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
212416_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
212404_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
213403_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
212417_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
213405_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
213906_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
212415_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
213302_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
213406_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
212418_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
212401_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
212411_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
212402_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
212412_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
212407_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
213401_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
212405_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
212409_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
213901_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
213905_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
201203_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
213902_Control,Control,Human,GPL6883,Illumina_microarray,Peripheral_Blood
