category,term,number_of_genes,ratio_in_set,ncbiTaxonId,inputGenes,preferredNames,description
COMPARTMENTS,GOCC:0000139,1,0.036,9606,['CD74'],['CD74'],Golgi membrane
COMPARTMENTS,GOCC:0000151,1,0.036,9606,['FBXO31'],['FBXO31'],Ubiquitin ligase complex
COMPARTMENTS,GOCC:0000323,5,0.179,9606,"['CD74', 'MAPK1', 'IL1B', 'CTSB', 'LGMN']","['CD74', 'MAPK1', 'IL1B', 'CTSB', 'LGMN']",Lytic vacuole
COMPARTMENTS,GOCC:0000785,3,0.107,9606,"['EGR1', 'IRF1', 'SP1']","['EGR1', 'IRF1', 'SP1']",Chromatin
COMPARTMENTS,GOCC:0000791,1,0.036,9606,['SP1'],['SP1'],Euchromatin
COMPARTMENTS,GOCC:0001650,1,0.036,9606,['KLF6'],['KLF6'],Fibrillar center
COMPARTMENTS,GOCC:0001891,1,0.036,9606,['TLR4'],['TLR4'],Phagocytic cup
COMPARTMENTS,GOCC:0005576,9,0.321,9606,"['CD74', 'MAPK1', 'IL1B', 'SOD1', 'IGFBP7', 'CXCL10', 'CTSB', 'LCN2', 'LGMN']","['CD74', 'MAPK1', 'IL1B', 'SOD1', 'IGFBP7', 'CXCL10', 'CTSB', 'LCN2', 'LGMN']",Extracellular region
COMPARTMENTS,GOCC:0005615,8,0.286,9606,"['CD74', 'IL1B', 'SOD1', 'IGFBP7', 'CXCL10', 'CTSB', 'LCN2', 'LGMN']","['CD74', 'IL1B', 'SOD1', 'IGFBP7', 'CXCL10', 'CTSB', 'LCN2', 'LGMN']",Extracellular space
COMPARTMENTS,GOCC:0005618,2,0.071,9606,"['IL1B', 'TLR4']","['IL1B', 'TLR4']",Cell wall
COMPARTMENTS,GOCC:0005622,22,0.786,9606,"['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'LPCAT3', 'LACTB', 'IL1B', 'SOD1', 'EPHA4', 'FBXO31', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'TLR4', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']","['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'LPCAT3', 'LACTB', 'IL1B', 'SOD1', 'EPHA4', 'FBXO31', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'TLR4', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']",Intracellular
COMPARTMENTS,GOCC:0005634,13,0.464,9606,"['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'SOD1', 'SP1', 'DYRK1A', 'PTGS2', 'RUNX3', 'BCL6', 'KLF6']","['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'SOD1', 'SP1', 'DYRK1A', 'PTGS2', 'RUNX3', 'BCL6', 'KLF6']",Nucleus
COMPARTMENTS,GOCC:0005635,1,0.036,9606,['PTGS2'],['PTGS2'],Nuclear envelope
COMPARTMENTS,GOCC:0005637,1,0.036,9606,['PTGS2'],['PTGS2'],Nuclear inner membrane
COMPARTMENTS,GOCC:0005640,1,0.036,9606,['PTGS2'],['PTGS2'],Nuclear outer membrane
COMPARTMENTS,GOCC:0005654,8,0.286,9606,"['MAPK1', 'EGR1', 'IRF1', 'KDM6B', 'SP1', 'DYRK1A', 'RUNX3', 'BCL6']","['MAPK1', 'EGR1', 'IRF1', 'KDM6B', 'SP1', 'DYRK1A', 'RUNX3', 'BCL6']",Nucleoplasm
COMPARTMENTS,GOCC:0005694,3,0.107,9606,"['EGR1', 'IRF1', 'SP1']","['EGR1', 'IRF1', 'SP1']",Chromosome
COMPARTMENTS,GOCC:0005730,3,0.107,9606,"['RUNX3', 'BCL6', 'KLF6']","['RUNX3', 'BCL6', 'KLF6']",Nucleolus
COMPARTMENTS,GOCC:0005737,17,0.607,9606,"['CD74', 'MAPK1', 'EGR1', 'IRF1', 'LPCAT3', 'LACTB', 'IL1B', 'SOD1', 'EPHA4', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'TLR4', 'LGMN', 'RUNX3']","['CD74', 'MAPK1', 'EGR1', 'IRF1', 'LPCAT3', 'LACTB', 'IL1B', 'SOD1', 'EPHA4', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'TLR4', 'LGMN', 'RUNX3']",Cytoplasm
COMPARTMENTS,GOCC:0005739,3,0.107,9606,"['MAPK1', 'LACTB', 'SOD1']","['MAPK1', 'LACTB', 'SOD1']",Mitochondrion
COMPARTMENTS,GOCC:0005740,1,0.036,9606,['SOD1'],['SOD1'],Mitochondrial envelope
COMPARTMENTS,GOCC:0005758,1,0.036,9606,['SOD1'],['SOD1'],Mitochondrial intermembrane space
COMPARTMENTS,GOCC:0005759,1,0.036,9606,['SOD1'],['SOD1'],Mitochondrial matrix
COMPARTMENTS,GOCC:0005764,5,0.179,9606,"['CD74', 'MAPK1', 'IL1B', 'CTSB', 'LGMN']","['CD74', 'MAPK1', 'IL1B', 'CTSB', 'LGMN']",Lysosome
COMPARTMENTS,GOCC:0005765,1,0.036,9606,['CD74'],['CD74'],Lysosomal membrane
COMPARTMENTS,GOCC:0005766,1,0.036,9606,['MAPK1'],['MAPK1'],Primary lysosome
COMPARTMENTS,GOCC:0005768,6,0.214,9606,"['CD74', 'MAPK1', 'EPHA4', 'CTSB', 'TLR4', 'LGMN']","['CD74', 'MAPK1', 'EPHA4', 'CTSB', 'TLR4', 'LGMN']",Endosome
COMPARTMENTS,GOCC:0005769,2,0.071,9606,"['MAPK1', 'EPHA4']","['MAPK1', 'EPHA4']",Early endosome
COMPARTMENTS,GOCC:0005770,3,0.107,9606,"['CD74', 'MAPK1', 'LGMN']","['CD74', 'MAPK1', 'LGMN']",Late endosome
COMPARTMENTS,GOCC:0005773,5,0.179,9606,"['CD74', 'MAPK1', 'IL1B', 'CTSB', 'LGMN']","['CD74', 'MAPK1', 'IL1B', 'CTSB', 'LGMN']",Vacuole
COMPARTMENTS,GOCC:0005774,1,0.036,9606,['CD74'],['CD74'],Vacuolar membrane
COMPARTMENTS,GOCC:0005775,4,0.143,9606,"['CD74', 'MAPK1', 'CTSB', 'LGMN']","['CD74', 'MAPK1', 'CTSB', 'LGMN']",Vacuolar lumen
COMPARTMENTS,GOCC:0005777,1,0.036,9606,['SOD1'],['SOD1'],Peroxisome
COMPARTMENTS,GOCC:0005783,4,0.143,9606,"['CD74', 'MAPK1', 'LPCAT3', 'PTGS2']","['CD74', 'MAPK1', 'LPCAT3', 'PTGS2']",Endoplasmic reticulum
COMPARTMENTS,GOCC:0005788,2,0.071,9606,"['MAPK1', 'PTGS2']","['MAPK1', 'PTGS2']",Endoplasmic reticulum lumen
COMPARTMENTS,GOCC:0005789,3,0.107,9606,"['CD74', 'LPCAT3', 'PTGS2']","['CD74', 'LPCAT3', 'PTGS2']",Endoplasmic reticulum membrane
COMPARTMENTS,GOCC:0005794,3,0.107,9606,"['CD74', 'MAPK1', 'TLR4']","['CD74', 'MAPK1', 'TLR4']",Golgi apparatus
COMPARTMENTS,GOCC:0005798,1,0.036,9606,['CD74'],['CD74'],Golgi-associated vesicle
COMPARTMENTS,GOCC:0005802,1,0.036,9606,['CD74'],['CD74'],trans-Golgi network
COMPARTMENTS,GOCC:0005819,1,0.036,9606,['MAPK1'],['MAPK1'],Spindle
COMPARTMENTS,GOCC:0005829,6,0.214,9606,"['MAPK1', 'IRF1', 'LACTB', 'IL1B', 'SOD1', 'TLR4']","['MAPK1', 'IRF1', 'LACTB', 'IL1B', 'SOD1', 'TLR4']",Cytosol
COMPARTMENTS,GOCC:0005856,1,0.036,9606,['MAPK1'],['MAPK1'],Cytoskeleton
COMPARTMENTS,GOCC:0005886,6,0.214,9606,"['CD74', 'MAPK1', 'EMP1', 'IL1B', 'EPHA4', 'TLR4']","['CD74', 'MAPK1', 'EMP1', 'IL1B', 'EPHA4', 'TLR4']",Plasma membrane
COMPARTMENTS,GOCC:0005887,3,0.107,9606,"['IL1B', 'EPHA4', 'TLR4']","['IL1B', 'EPHA4', 'TLR4']",Integral component of plasma membrane
COMPARTMENTS,GOCC:0005901,1,0.036,9606,['MAPK1'],['MAPK1'],Caveola
COMPARTMENTS,GOCC:0005925,1,0.036,9606,['MAPK1'],['MAPK1'],Focal adhesion
COMPARTMENTS,GOCC:0009897,1,0.036,9606,['TLR4'],['TLR4'],External side of plasma membrane
COMPARTMENTS,GOCC:0009986,2,0.071,9606,"['CD74', 'TLR4']","['CD74', 'TLR4']",Cell surface
COMPARTMENTS,GOCC:0010008,2,0.071,9606,"['EPHA4', 'TLR4']","['EPHA4', 'TLR4']",Endosome membrane
COMPARTMENTS,GOCC:0012505,10,0.357,9606,"['CD74', 'MAPK1', 'LPCAT3', 'EPHA4', 'IGFBP7', 'CTSB', 'PTGS2', 'LCN2', 'TLR4', 'LGMN']","['CD74', 'MAPK1', 'LPCAT3', 'EPHA4', 'IGFBP7', 'CTSB', 'PTGS2', 'LCN2', 'TLR4', 'LGMN']",Endomembrane system
COMPARTMENTS,GOCC:0012506,2,0.071,9606,"['CD74', 'TLR4']","['CD74', 'TLR4']",Vesicle membrane
COMPARTMENTS,GOCC:0012507,1,0.036,9606,['CD74'],['CD74'],ER to Golgi transport vesicle membrane
COMPARTMENTS,GOCC:0015630,1,0.036,9606,['MAPK1'],['MAPK1'],Microtubule cytoskeleton
COMPARTMENTS,GOCC:0016020,8,0.286,9606,"['CD74', 'MAPK1', 'EMP1', 'LPCAT3', 'IL1B', 'EPHA4', 'PTGS2', 'TLR4']","['CD74', 'MAPK1', 'EMP1', 'LPCAT3', 'IL1B', 'EPHA4', 'PTGS2', 'TLR4']",Membrane
COMPARTMENTS,GOCC:0016021,4,0.143,9606,"['CD74', 'IL1B', 'EPHA4', 'TLR4']","['CD74', 'IL1B', 'EPHA4', 'TLR4']",Integral component of membrane
COMPARTMENTS,GOCC:0016234,1,0.036,9606,['SOD1'],['SOD1'],Inclusion body
COMPARTMENTS,GOCC:0016604,2,0.071,9606,"['DYRK1A', 'BCL6']","['DYRK1A', 'BCL6']",Nuclear body
COMPARTMENTS,GOCC:0016607,1,0.036,9606,['DYRK1A'],['DYRK1A'],Nuclear speck
COMPARTMENTS,GOCC:0019005,1,0.036,9606,['FBXO31'],['FBXO31'],SCF ubiquitin ligase complex
COMPARTMENTS,GOCC:0019866,1,0.036,9606,['PTGS2'],['PTGS2'],Organelle inner membrane
COMPARTMENTS,GOCC:0019867,1,0.036,9606,['PTGS2'],['PTGS2'],Outer membrane
COMPARTMENTS,GOCC:0030054,2,0.071,9606,"['MAPK1', 'EPHA4']","['MAPK1', 'EPHA4']",Cell junction
COMPARTMENTS,GOCC:0030055,1,0.036,9606,['MAPK1'],['MAPK1'],Cell-substrate junction
COMPARTMENTS,GOCC:0030133,1,0.036,9606,['CD74'],['CD74'],Transport vesicle
COMPARTMENTS,GOCC:0030134,1,0.036,9606,['CD74'],['CD74'],COPII-coated ER to Golgi transport vesicle
COMPARTMENTS,GOCC:0030135,1,0.036,9606,['CD74'],['CD74'],Coated vesicle
COMPARTMENTS,GOCC:0030136,1,0.036,9606,['CD74'],['CD74'],Clathrin-coated vesicle
COMPARTMENTS,GOCC:0030139,1,0.036,9606,['CD74'],['CD74'],Endocytic vesicle
COMPARTMENTS,GOCC:0030141,3,0.107,9606,"['MAPK1', 'CTSB', 'LCN2']","['MAPK1', 'CTSB', 'LCN2']",Secretory granule
COMPARTMENTS,GOCC:0030176,1,0.036,9606,['CD74'],['CD74'],Integral component of endoplasmic reticulum membrane
COMPARTMENTS,GOCC:0030312,2,0.071,9606,"['IL1B', 'TLR4']","['IL1B', 'TLR4']",External encapsulating structure
COMPARTMENTS,GOCC:0030424,2,0.071,9606,"['SOD1', 'EPHA4']","['SOD1', 'EPHA4']",Axon
COMPARTMENTS,GOCC:0030425,2,0.071,9606,"['SOD1', 'EPHA4']","['SOD1', 'EPHA4']",Dendrite
COMPARTMENTS,GOCC:0030658,1,0.036,9606,['CD74'],['CD74'],Transport vesicle membrane
COMPARTMENTS,GOCC:0030659,2,0.071,9606,"['CD74', 'TLR4']","['CD74', 'TLR4']",Cytoplasmic vesicle membrane
COMPARTMENTS,GOCC:0030660,1,0.036,9606,['CD74'],['CD74'],Golgi-associated vesicle membrane
COMPARTMENTS,GOCC:0030662,1,0.036,9606,['CD74'],['CD74'],Coated vesicle membrane
COMPARTMENTS,GOCC:0030665,1,0.036,9606,['CD74'],['CD74'],Clathrin-coated vesicle membrane
COMPARTMENTS,GOCC:0030666,1,0.036,9606,['CD74'],['CD74'],Endocytic vesicle membrane
COMPARTMENTS,GOCC:0030669,1,0.036,9606,['CD74'],['CD74'],Clathrin-coated endocytic vesicle membrane
COMPARTMENTS,GOCC:0031012,1,0.036,9606,['IL1B'],['IL1B'],Extracellular matrix
COMPARTMENTS,GOCC:0031090,5,0.179,9606,"['CD74', 'LPCAT3', 'EPHA4', 'PTGS2', 'TLR4']","['CD74', 'LPCAT3', 'EPHA4', 'PTGS2', 'TLR4']",Organelle membrane
COMPARTMENTS,GOCC:0031224,4,0.143,9606,"['CD74', 'IL1B', 'EPHA4', 'TLR4']","['CD74', 'IL1B', 'EPHA4', 'TLR4']",Intrinsic component of membrane
COMPARTMENTS,GOCC:0031226,3,0.107,9606,"['IL1B', 'EPHA4', 'TLR4']","['IL1B', 'EPHA4', 'TLR4']",Intrinsic component of plasma membrane
COMPARTMENTS,GOCC:0031227,1,0.036,9606,['CD74'],['CD74'],Intrinsic component of endoplasmic reticulum membrane
COMPARTMENTS,GOCC:0031300,1,0.036,9606,['CD74'],['CD74'],Intrinsic component of organelle membrane
COMPARTMENTS,GOCC:0031301,1,0.036,9606,['CD74'],['CD74'],Integral component of organelle membrane
COMPARTMENTS,GOCC:0031410,8,0.286,9606,"['CD74', 'MAPK1', 'SOD1', 'EPHA4', 'CTSB', 'LCN2', 'TLR4', 'LGMN']","['CD74', 'MAPK1', 'SOD1', 'EPHA4', 'CTSB', 'LCN2', 'TLR4', 'LGMN']",Cytoplasmic vesicle
COMPARTMENTS,GOCC:0031461,1,0.036,9606,['FBXO31'],['FBXO31'],cullin-RING ubiquitin ligase complex
COMPARTMENTS,GOCC:0031901,1,0.036,9606,['EPHA4'],['EPHA4'],Early endosome membrane
COMPARTMENTS,GOCC:0031904,2,0.071,9606,"['CTSB', 'LGMN']","['CTSB', 'LGMN']",Endosome lumen
COMPARTMENTS,GOCC:0031965,1,0.036,9606,['PTGS2'],['PTGS2'],Nuclear membrane
COMPARTMENTS,GOCC:0031967,2,0.071,9606,"['SOD1', 'PTGS2']","['SOD1', 'PTGS2']",Organelle envelope
COMPARTMENTS,GOCC:0031968,1,0.036,9606,['PTGS2'],['PTGS2'],Organelle outer membrane
COMPARTMENTS,GOCC:0031970,1,0.036,9606,['SOD1'],['SOD1'],Organelle envelope lumen
COMPARTMENTS,GOCC:0031974,15,0.536,9606,"['CD74', 'MAPK1', 'EGR1', 'IRF1', 'KDM6B', 'SOD1', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']","['CD74', 'MAPK1', 'EGR1', 'IRF1', 'KDM6B', 'SOD1', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']",Membrane-enclosed lumen
COMPARTMENTS,GOCC:0031975,2,0.071,9606,"['SOD1', 'PTGS2']","['SOD1', 'PTGS2']",Envelope
COMPARTMENTS,GOCC:0031981,9,0.321,9606,"['MAPK1', 'EGR1', 'IRF1', 'KDM6B', 'SP1', 'DYRK1A', 'RUNX3', 'BCL6', 'KLF6']","['MAPK1', 'EGR1', 'IRF1', 'KDM6B', 'SP1', 'DYRK1A', 'RUNX3', 'BCL6', 'KLF6']",Nuclear lumen
COMPARTMENTS,GOCC:0031982,9,0.321,9606,"['CD74', 'MAPK1', 'SOD1', 'EPHA4', 'IGFBP7', 'CTSB', 'LCN2', 'TLR4', 'LGMN']","['CD74', 'MAPK1', 'SOD1', 'EPHA4', 'IGFBP7', 'CTSB', 'LCN2', 'TLR4', 'LGMN']",Vesicle
COMPARTMENTS,GOCC:0031983,2,0.071,9606,"['MAPK1', 'LCN2']","['MAPK1', 'LCN2']",Vesicle lumen
COMPARTMENTS,GOCC:0031984,3,0.107,9606,"['CD74', 'LPCAT3', 'PTGS2']","['CD74', 'LPCAT3', 'PTGS2']",Organelle subcompartment
COMPARTMENTS,GOCC:0032588,1,0.036,9606,['CD74'],['CD74'],trans-Golgi network membrane
COMPARTMENTS,GOCC:0032838,1,0.036,9606,['SOD1'],['SOD1'],Plasma membrane bounded cell projection cytoplasm
COMPARTMENTS,GOCC:0032839,1,0.036,9606,['SOD1'],['SOD1'],Dendrite cytoplasm
COMPARTMENTS,GOCC:0032991,12,0.429,9606,"['CD74', 'IRF1', 'KDM6B', 'IL1B', 'SOD1', 'CXCL10', 'FBXO31', 'SP1', 'CTSB', 'PTGS2', 'TLR4', 'RUNX3']","['CD74', 'IRF1', 'KDM6B', 'IL1B', 'SOD1', 'CXCL10', 'FBXO31', 'SP1', 'CTSB', 'PTGS2', 'TLR4', 'RUNX3']",Protein-containing complex
COMPARTMENTS,GOCC:0034708,1,0.036,9606,['KDM6B'],['KDM6B'],Methyltransferase complex
COMPARTMENTS,GOCC:0034774,2,0.071,9606,"['MAPK1', 'LCN2']","['MAPK1', 'LCN2']",Secretory granule lumen
COMPARTMENTS,GOCC:0035097,1,0.036,9606,['KDM6B'],['KDM6B'],Histone methyltransferase complex
COMPARTMENTS,GOCC:0035578,1,0.036,9606,['MAPK1'],['MAPK1'],Azurophil granule lumen
COMPARTMENTS,GOCC:0035580,1,0.036,9606,['LCN2'],['LCN2'],Specific granule lumen
COMPARTMENTS,GOCC:0035692,1,0.036,9606,['CD74'],['CD74'],Macrophage migration inhibitory factor receptor complex
COMPARTMENTS,GOCC:0036019,2,0.071,9606,"['CTSB', 'LGMN']","['CTSB', 'LGMN']",Endolysosome
COMPARTMENTS,GOCC:0036021,2,0.071,9606,"['CTSB', 'LGMN']","['CTSB', 'LGMN']",Endolysosome lumen
COMPARTMENTS,GOCC:0036477,3,0.107,9606,"['SOD1', 'EPHA4', 'FBXO31']","['SOD1', 'EPHA4', 'FBXO31']",Somatodendritic compartment
COMPARTMENTS,GOCC:0042175,3,0.107,9606,"['CD74', 'LPCAT3', 'PTGS2']","['CD74', 'LPCAT3', 'PTGS2']",Nuclear outer membrane-endoplasmic reticulum membrane network
COMPARTMENTS,GOCC:0042382,1,0.036,9606,['BCL6'],['BCL6'],Paraspeckles
COMPARTMENTS,GOCC:0042579,1,0.036,9606,['SOD1'],['SOD1'],Microbody
COMPARTMENTS,GOCC:0042581,1,0.036,9606,['LCN2'],['LCN2'],Specific granule
COMPARTMENTS,GOCC:0042582,1,0.036,9606,['MAPK1'],['MAPK1'],Azurophil granule
COMPARTMENTS,GOCC:0042611,1,0.036,9606,['CD74'],['CD74'],MHC protein complex
COMPARTMENTS,GOCC:0042613,1,0.036,9606,['CD74'],['CD74'],MHC class II protein complex
COMPARTMENTS,GOCC:0042995,3,0.107,9606,"['SOD1', 'EPHA4', 'PTGS2']","['SOD1', 'EPHA4', 'PTGS2']",Cell projection
COMPARTMENTS,GOCC:0043005,3,0.107,9606,"['SOD1', 'EPHA4', 'PTGS2']","['SOD1', 'EPHA4', 'PTGS2']",Neuron projection
COMPARTMENTS,GOCC:0043025,2,0.071,9606,"['SOD1', 'FBXO31']","['SOD1', 'FBXO31']",Neuronal cell body
COMPARTMENTS,GOCC:0043197,1,0.036,9606,['EPHA4'],['EPHA4'],Dendritic spine
COMPARTMENTS,GOCC:0043198,1,0.036,9606,['EPHA4'],['EPHA4'],Dendritic shaft
COMPARTMENTS,GOCC:0043202,3,0.107,9606,"['CD74', 'CTSB', 'LGMN']","['CD74', 'CTSB', 'LGMN']",Lysosomal lumen
COMPARTMENTS,GOCC:0043226,22,0.786,9606,"['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'LPCAT3', 'LACTB', 'IL1B', 'SOD1', 'EPHA4', 'IGFBP7', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'TLR4', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']","['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'LPCAT3', 'LACTB', 'IL1B', 'SOD1', 'EPHA4', 'IGFBP7', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'TLR4', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']",Organelle
COMPARTMENTS,GOCC:0043227,22,0.786,9606,"['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'LPCAT3', 'LACTB', 'IL1B', 'SOD1', 'EPHA4', 'IGFBP7', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'TLR4', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']","['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'LPCAT3', 'LACTB', 'IL1B', 'SOD1', 'EPHA4', 'IGFBP7', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'TLR4', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']",Membrane-bounded organelle
COMPARTMENTS,GOCC:0043228,7,0.25,9606,"['MAPK1', 'EGR1', 'IRF1', 'SP1', 'RUNX3', 'BCL6', 'KLF6']","['MAPK1', 'EGR1', 'IRF1', 'SP1', 'RUNX3', 'BCL6', 'KLF6']",Non-membrane-bounded organelle
COMPARTMENTS,GOCC:0043229,21,0.75,9606,"['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'LPCAT3', 'LACTB', 'IL1B', 'SOD1', 'EPHA4', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'TLR4', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']","['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'LPCAT3', 'LACTB', 'IL1B', 'SOD1', 'EPHA4', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'TLR4', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']",Intracellular organelle
COMPARTMENTS,GOCC:0043230,6,0.214,9606,"['CD74', 'SOD1', 'IGFBP7', 'CTSB', 'LCN2', 'LGMN']","['CD74', 'SOD1', 'IGFBP7', 'CTSB', 'LCN2', 'LGMN']",Extracellular organelle
COMPARTMENTS,GOCC:0043231,19,0.679,9606,"['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'LPCAT3', 'LACTB', 'IL1B', 'SOD1', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'TLR4', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']","['CD74', 'MAPK1', 'HBP1', 'EGR1', 'IRF1', 'KDM6B', 'LPCAT3', 'LACTB', 'IL1B', 'SOD1', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'TLR4', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']",Intracellular membrane-bounded organelle
COMPARTMENTS,GOCC:0043232,7,0.25,9606,"['MAPK1', 'EGR1', 'IRF1', 'SP1', 'RUNX3', 'BCL6', 'KLF6']","['MAPK1', 'EGR1', 'IRF1', 'SP1', 'RUNX3', 'BCL6', 'KLF6']",Intracellular non-membrane-bounded organelle
COMPARTMENTS,GOCC:0043233,15,0.536,9606,"['CD74', 'MAPK1', 'EGR1', 'IRF1', 'KDM6B', 'SOD1', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']","['CD74', 'MAPK1', 'EGR1', 'IRF1', 'KDM6B', 'SOD1', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']",Organelle lumen
COMPARTMENTS,GOCC:0043235,3,0.107,9606,"['CD74', 'IL1B', 'TLR4']","['CD74', 'IL1B', 'TLR4']",Receptor complex
COMPARTMENTS,GOCC:0043514,2,0.071,9606,"['IL1B', 'CXCL10']","['IL1B', 'CXCL10']",interleukin-12 complex
COMPARTMENTS,GOCC:0044297,2,0.071,9606,"['SOD1', 'FBXO31']","['SOD1', 'FBXO31']",Cell body
COMPARTMENTS,GOCC:0044309,1,0.036,9606,['EPHA4'],['EPHA4'],Neuron spine
COMPARTMENTS,GOCC:0044666,1,0.036,9606,['KDM6B'],['KDM6B'],MLL3/4 complex
COMPARTMENTS,GOCC:0044853,1,0.036,9606,['MAPK1'],['MAPK1'],Plasma membrane raft
COMPARTMENTS,GOCC:0045121,1,0.036,9606,['MAPK1'],['MAPK1'],Membrane raft
COMPARTMENTS,GOCC:0045202,1,0.036,9606,['EPHA4'],['EPHA4'],Synapse
COMPARTMENTS,GOCC:0045323,2,0.071,9606,"['IL1B', 'TLR4']","['IL1B', 'TLR4']",interleukin-1 receptor complex
COMPARTMENTS,GOCC:0045334,1,0.036,9606,['CD74'],['CD74'],Clathrin-coated endocytic vesicle
COMPARTMENTS,GOCC:0046696,1,0.036,9606,['TLR4'],['TLR4'],Lipopolysaccharide receptor complex
COMPARTMENTS,GOCC:0048471,2,0.071,9606,"['CTSB', 'TLR4']","['CTSB', 'TLR4']",Perinuclear region of cytoplasm
COMPARTMENTS,GOCC:0051286,1,0.036,9606,['DYRK1A'],['DYRK1A'],Cell tip
COMPARTMENTS,GOCC:0060187,1,0.036,9606,['DYRK1A'],['DYRK1A'],Cell pole
COMPARTMENTS,GOCC:0060205,2,0.071,9606,"['MAPK1', 'LCN2']","['MAPK1', 'LCN2']",Cytoplasmic vesicle lumen
COMPARTMENTS,GOCC:0061702,2,0.071,9606,"['IL1B', 'TLR4']","['IL1B', 'TLR4']",Inflammasome complex
COMPARTMENTS,GOCC:0062023,1,0.036,9606,['IL1B'],['IL1B'],Collagen-containing extracellular matrix
COMPARTMENTS,GOCC:0065010,6,0.214,9606,"['CD74', 'SOD1', 'IGFBP7', 'CTSB', 'LCN2', 'LGMN']","['CD74', 'SOD1', 'IGFBP7', 'CTSB', 'LCN2', 'LGMN']",Extracellular membrane-bounded organelle
COMPARTMENTS,GOCC:0070013,15,0.536,9606,"['CD74', 'MAPK1', 'EGR1', 'IRF1', 'KDM6B', 'SOD1', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']","['CD74', 'MAPK1', 'EGR1', 'IRF1', 'KDM6B', 'SOD1', 'SP1', 'DYRK1A', 'CTSB', 'PTGS2', 'LCN2', 'LGMN', 'RUNX3', 'BCL6', 'KLF6']",Intracellular organelle lumen
COMPARTMENTS,GOCC:0070062,6,0.214,9606,"['CD74', 'SOD1', 'IGFBP7', 'CTSB', 'LCN2', 'LGMN']","['CD74', 'SOD1', 'IGFBP7', 'CTSB', 'LCN2', 'LGMN']",Extracellular exosome
COMPARTMENTS,GOCC:0070161,1,0.036,9606,['MAPK1'],['MAPK1'],Anchoring junction
COMPARTMENTS,GOCC:0070743,1,0.036,9606,['IL1B'],['IL1B'],interleukin-23 complex
COMPARTMENTS,GOCC:0071159,3,0.107,9606,"['IL1B', 'PTGS2', 'TLR4']","['IL1B', 'PTGS2', 'TLR4']",NF-kappaB complex
COMPARTMENTS,GOCC:0071556,1,0.036,9606,['CD74'],['CD74'],Integral component of lumenal side of endoplasmic reticulum membrane
