"logFC","logCPM","PValue","FDR","Gene","Dataset","Species"
1.48758127935381,4.07257251417308,2.80497681355069e-20,2.5296461947469e-17,"Cdkn1a","GSE104036","Mouse"
6.35172423391554,1.16154642435512,3.14546225955399e-20,2.69487479087288e-17,"Ccl3","GSE104036","Mouse"
1.98469220357905,4.1430104577855,5.27210036808869e-20,4.30178284796189e-17,"Piezo1","GSE104036","Mouse"
1.13834872292706,5.96896393186654,1.15422518069159e-19,8.98984021415927e-17,"Txnrd1","GSE104036","Mouse"
4.97710369481327,2.6442694751642,2.11531424266297e-19,1.57590911078391e-16,"Lilrb4","GSE104036","Mouse"
4.25571834725562,1.06900799637807,8.26219266742538e-19,5.89886130651391e-16,"Slc10a6","GSE104036","Mouse"
1.92186260666448,8.707855367793,1.12622180463055e-18,7.71912424893781e-16,"Hsph1","GSE104036","Mouse"
8.25973249393855,1.60556975760288,1.83036969591934e-18,1.2062840284453e-15,"Ccl4","GSE104036","Mouse"
2.62526861838508,1.88738970214007,2.20357472431978e-18,1.39845381115627e-15,"Ttll13","GSE104036","Mouse"
1.162934586608,4.96570534165823,4.62039097531956e-18,2.82751426293217e-15,"Ddx21","GSE104036","Mouse"
1.64518881146992,3.34634978956464,6.40986136074332e-18,3.78734394539093e-15,"Gadd45g","GSE104036","Mouse"
1.3519471284656,5.27000147160011,1.79292626891473e-17,1.02405972059513e-14,"Ptgs2","GSE104036","Mouse"
1.52281062875893,4.10779234143244,2.5888004498101e-17,1.43093857120955e-14,"Hbegf","GSE104036","Mouse"
5.89454991536804,2.01372593488642,2.8310162691659e-17,1.51592074287993e-14,"Lgals3","GSE104036","Mouse"
5.36283129568855,1.16171484275706,3.40509915727989e-17,1.76807194121184e-14,"Cxcl1","GSE104036","Mouse"
-1.15368403901649,4.99714533555879,3.95198178727821e-17,1.99168258602977e-14,"Fam19a1","GSE104036","Mouse"
1.43557912016786,3.25617885149691,5.16733503502072e-17,2.52977959500228e-14,"Rest","GSE104036","Mouse"
4.69232768064,2.38087152102184,5.4676037917466e-17,2.60242752698828e-14,"Ccl12","GSE104036","Mouse"
4.00630198075205,0.956040907056753,6.25651374937065e-17,2.89744224582341e-14,"Eda2r","GSE104036","Mouse"
