"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002696","positive regulation of leukocyte activation","5/28","381/18860",0.0131233595800525,8.8395200599925,5.96077671693303,0.000219590988502194,0.00284804358840855,0.00146837907887874,"TLR4/CD74/IL1B/RUNX3/BCL6",5
"GO:0002903","negative regulation of B cell apoptotic process","2/28","15/18860",0.133333333333333,89.8095238095238,13.2677482761061,0.000220526784456604,0.00284804358840855,0.00146837907887874,"CD74/BCL6",2
"GO:0043374","CD8-positive, alpha-beta T cell differentiation","2/28","15/18860",0.133333333333333,89.8095238095238,13.2677482761061,0.000220526784456604,0.00284804358840855,0.00146837907887874,"IRF1/RUNX3",2
"GO:0043518","negative regulation of DNA damage response, signal transduction by p53 class mediator","2/28","15/18860",0.133333333333333,89.8095238095238,13.2677482761061,0.000220526784456604,0.00284804358840855,0.00146837907887874,"CD74/DYRK1A",2
"GO:0006809","nitric oxide biosynthetic process","3/28","80/18860",0.0375,25.2589285714286,8.38414804683542,0.000223029959154144,0.00285821470731387,0.00147362304995774,"TLR4/PTGS2/IL1B",3
"GO:0046631","alpha-beta T cell activation","4/28","206/18860",0.0194174757281553,13.0790568654646,6.72157072964632,0.00023044265761816,0.00293066769154088,0.00151097797200819,"TLR4/IRF1/RUNX3/BCL6",4
"GO:0030330","DNA damage response, signal transduction by p53 class mediator","3/28","82/18860",0.0365853658536585,24.6428571428571,8.27317746081756,0.000239926357548696,0.00302816145209188,0.00156124328357046,"CD74/FBXO31/DYRK1A",3
"GO:0002695","negative regulation of leukocyte activation","4/28","212/18860",0.0188679245283019,12.7088948787062,6.61085802518829,0.000257125260917677,0.00322083221570564,0.00166057944526177,"CD74/IRF1/RUNX3/BCL6",4
"GO:0050920","regulation of chemotaxis","4/28","214/18860",0.0186915887850467,12.5901201602136,6.57494476028488,0.000266494121347351,0.00331327765794543,0.00170824197187304,"CXCL10/CD74/LGMN/MAPK1",4
"GO:0050867","positive regulation of cell activation","5/28","401/18860",0.0124688279301746,8.39864624153901,5.774448163191,0.000278227922106836,0.00340829204580874,0.00175722898172739,"TLR4/CD74/IL1B/RUNX3/BCL6",5
"GO:1903037","regulation of leukocyte cell-cell adhesion","5/28","401/18860",0.0124688279301746,8.39864624153901,5.774448163191,0.000278227922106836,0.00340829204580874,0.00175722898172739,"CD74/IRF1/IL1B/RUNX3/BCL6",5
"GO:0032310","prostaglandin secretion","2/28","17/18860",0.117647058823529,79.2436974789916,12.4448287582029,0.000285110385880809,0.00342747872485274,0.00176712114707768,"PTGS2/IL1B",2
"GO:0050871","positive regulation of B cell activation","3/28","87/18860",0.0344827586206897,23.2266009852217,8.01227713259317,0.000285739233267228,0.00342747872485274,0.00176712114707768,"TLR4/CD74/BCL6",3
"GO:0007626","locomotory behavior","4/28","218/18860",0.018348623853211,12.3591087811271,6.50453682512389,0.000285966112097558,0.00342747872485274,0.00176712114707768,"EPHA4/EGR1/GMFB/SOD1",4
"GO:0002720","positive regulation of cytokine production involved in immune response","3/28","88/18860",0.0340909090909091,22.9626623376623,7.96271498679735,0.000295530619238671,0.00349832489150886,0.00180364763471993,"TLR4/CD74/IL1B",3
"GO:0022408","negative regulation of cell-cell adhesion","4/28","220/18860",0.0181818181818182,12.2467532467532,6.4700207936176,0.000296076716508253,0.00349832489150886,0.00180364763471993,"CD74/IRF1/RUNX3/BCL6",4
"GO:0007422","peripheral nervous system development","3/28","89/18860",0.0337078651685393,22.7046548956661,7.9139683047034,0.000305536368726394,0.00353488604373731,0.00182249763801709,"MAPK1/RUNX3/SOD1",3
"GO:0033077","T cell differentiation in thymus","3/28","89/18860",0.0337078651685393,22.7046548956661,7.9139683047034,0.000305536368726394,0.00353488604373731,0.00182249763801709,"CD74/IL1B/SOD1",3
"GO:0046209","nitric oxide metabolic process","3/28","89/18860",0.0337078651685393,22.7046548956661,7.9139683047034,0.000305536368726394,0.00353488604373731,0.00182249763801709,"TLR4/PTGS2/IL1B",3
"GO:0034248","regulation of amide metabolic process","3/28","90/18860",0.0333333333333333,22.452380952381,7.866014491419,0.000315758503023075,0.00362795631749271,0.00187048231191891,"EPHA4/SP1/DYRK1A",3
"GO:0003159","morphogenesis of an endothelium","2/28","18/18860",0.111111111111111,74.8412698412698,12.0854279232758,0.000320454701439577,0.00363181994964853,0.0018724743027189,"LCN2/CXCL10",2
"GO:0061154","endothelial tube morphogenesis","2/28","18/18860",0.111111111111111,74.8412698412698,12.0854279232758,0.000320454701439577,0.00363181994964853,0.0018724743027189,"LCN2/CXCL10",2
"GO:0150076","neuroinflammatory response","3/28","91/18860",0.032967032967033,22.2056514913658,7.81883182149098,0.000326199034132447,0.00364729926754804,0.00188045504664131,"PTGS2/IL1B/MAPK1",3
"GO:2001057","reactive nitrogen species metabolic process","3/28","91/18860",0.032967032967033,22.2056514913658,7.81883182149098,0.000326199034132447,0.00364729926754804,0.00188045504664131,"TLR4/PTGS2/IL1B",3
"GO:0009612","response to mechanical stimulus","4/28","228/18860",0.0175438596491228,11.8170426065163,6.3363090159339,0.000339104321964844,0.00376631866928954,0.00194181843314606,"TLR4/CXCL10/IRF1/IL1B",4
"GO:0031649","heat generation","2/28","19/18860",0.105263157894737,70.9022556390977,11.7545535509926,0.00035782645399478,0.00385706934585476,0.00198860718153629,"PTGS2/IL1B",2
"GO:0035234","ectopic germ cell programmed cell death","2/28","19/18860",0.105263157894737,70.9022556390977,11.7545535509926,0.00035782645399478,0.00385706934585476,0.00198860718153629,"IL1B/SOD1",2
"GO:0097396","response to interleukin-17","2/28","19/18860",0.105263157894737,70.9022556390977,11.7545535509926,0.00035782645399478,0.00385706934585476,0.00198860718153629,"CXCL10/IL1B",2
"GO:0097398","cellular response to interleukin-17","2/28","19/18860",0.105263157894737,70.9022556390977,11.7545535509926,0.00035782645399478,0.00385706934585476,0.00198860718153629,"CXCL10/IL1B",2
"GO:0042100","B cell proliferation","3/28","94/18860",0.0319148936170213,21.4969604863222,7.68170558201897,0.000358850989560317,0.00385706934585476,0.00198860718153629,"TLR4/CD74/BCL6",3
"GO:0002685","regulation of leukocyte migration","4/28","233/18860",0.0171673819742489,11.5634580012262,6.25608637736652,0.000368174054296243,0.00392820561601489,0.00202528323919135,"CXCL10/CD74/LGMN/MAPK1",4
"GO:0071347","cellular response to interleukin-1","3/28","95/18860",0.0315789473684211,21.2706766917293,7.63740618093201,0.000370185043045821,0.00392820561601489,0.00202528323919135,"LCN2/IL1B/EGR1",3
"GO:0050866","negative regulation of cell activation","4/28","235/18860",0.0170212765957447,11.4650455927052,6.22468011956452,0.00038028763730797,0.00400986837819669,0.00206738648929582,"CD74/IRF1/RUNX3/BCL6",4
"GO:0002440","production of molecular mediator of immune response","4/28","236/18860",0.0169491525423729,11.4164648910412,6.20911920354334,0.000386450424194719,0.00404922268370064,0.00208767657161795,"TLR4/CD74/IL1B/BCL6",4
"GO:0042180","ketone metabolic process","4/28","237/18860",0.0168776371308017,11.3682941531043,6.19365177444047,0.000392684516279063,0.00408882752575575,0.00210809582423497,"CD74/PTGS2/IL1B/EGR1",4
"GO:2001185","regulation of CD8-positive, alpha-beta T cell activation","2/28","20/18860",0.1,67.3571428571429,11.4485991610688,0.000397219978053415,0.00411036325116143,0.00211919909834316,"IRF1/RUNX3",2
"GO:0010594","regulation of endothelial cell migration","4/28","239/18860",0.0167364016736402,11.2731619844591,6.16299349882968,0.00040536854468269,0.00414522194018236,0.00213717135476642,"LCN2/SP1/PTGS2/LGMN",4
"GO:0071677","positive regulation of mononuclear cell migration","3/28","98/18860",0.0306122448979592,20.6195335276968,7.50848422432564,0.000405564931722524,0.00414522194018236,0.00213717135476642,"CXCL10/LGMN/MAPK1",3
"GO:0007159","leukocyte cell-cell adhesion","5/28","439/18860",0.0113895216400911,7.67165636186137,5.45380305604189,0.000421755292135988,0.0042844165652351,0.00220893657498695,"CD74/IRF1/IL1B/RUNX3/BCL6",5
"GO:0002755","MyD88-dependent toll-like receptor signaling pathway","2/28","21/18860",0.0952380952380952,64.1496598639456,11.1645664569738,0.000438629619445702,0.00429857027056788,0.00221623386667302,"TLR4/IRF1",2
"GO:0002902","regulation of B cell apoptotic process","2/28","21/18860",0.0952380952380952,64.1496598639456,11.1645664569738,0.000438629619445702,0.00429857027056788,0.00221623386667302,"CD74/BCL6",2
"GO:0072567","chemokine (C-X-C motif) ligand 2 production","2/28","21/18860",0.0952380952380952,64.1496598639456,11.1645664569738,0.000438629619445702,0.00429857027056788,0.00221623386667302,"TLR4/CD74",2
"GO:1902004","positive regulation of amyloid-beta formation","2/28","21/18860",0.0952380952380952,64.1496598639456,11.1645664569738,0.000438629619445702,0.00429857027056788,0.00221623386667302,"EPHA4/SP1",2
"GO:1903428","positive regulation of reactive oxygen species biosynthetic process","2/28","21/18860",0.0952380952380952,64.1496598639456,11.1645664569738,0.000438629619445702,0.00429857027056788,0.00221623386667302,"TLR4/LCN2",2
"GO:2000341","regulation of chemokine (C-X-C motif) ligand 2 production","2/28","21/18860",0.0952380952380952,64.1496598639456,11.1645664569738,0.000438629619445702,0.00429857027056788,0.00221623386667302,"TLR4/CD74",2
"GO:0042982","amyloid precursor protein metabolic process","3/28","102/18860",0.0294117647058824,19.8109243697479,7.34525843576471,0.000456025275024421,0.00441708202436445,0.00227733552276577,"EPHA4/SP1/DYRK1A",3
"GO:0046330","positive regulation of JNK cascade","3/28","102/18860",0.0294117647058824,19.8109243697479,7.34525843576471,0.000456025275024421,0.00441708202436445,0.00227733552276577,"TLR4/EPHA4/IL1B",3
"GO:0032755","positive regulation of interleukin-6 production","3/28","103/18860",0.029126213592233,19.618585298197,7.30590002704103,0.000469240156699005,0.00449283966126748,0.00231639423996605,"TLR4/CD74/IL1B",3
"GO:0042542","response to hydrogen peroxide","3/28","103/18860",0.029126213592233,19.618585298197,7.30590002704103,0.000469240156699005,0.00449283966126748,0.00231639423996605,"LCN2/KDM6B/SOD1",3
"GO:0010720","positive regulation of cell development","5/28","451/18860",0.0110864745011086,7.46753246753247,5.36045818814849,0.000477036797248566,0.00454139030980635,0.00234142572363808,"EPHA4/CD74/IL1B/RUNX3/BCL6",5
"GO:0150078","positive regulation of neuroinflammatory response","2/28","22/18860",0.0909090909090909,61.2337662337662,10.8999394758277,0.000482049735305819,0.00456303897170167,0.00235258722493749,"IL1B/MAPK1",2
"GO:0032637","interleukin-8 production","3/28","105/18860",0.0285714285714286,19.2448979591837,7.22882443472887,0.000496402960930509,0.00464610861185522,0.00239541582566112,"TLR4/CD74/IL1B",3
"GO:0032677","regulation of interleukin-8 production","3/28","105/18860",0.0285714285714286,19.2448979591837,7.22882443472887,0.000496402960930509,0.00464610861185522,0.00239541582566112,"TLR4/CD74/IL1B",3
"GO:0090026","positive regulation of monocyte chemotaxis","2/28","23/18860",0.0869565217391304,58.5714285714286,10.6525891742261,0.000527474694052656,0.00490934547649009,0.00253113408025268,"CXCL10/LGMN",2
"GO:0060907","positive regulation of macrophage cytokine production","2/28","24/18860",0.0833333333333333,56.1309523809524,10.4207001162087,0.000574898875370603,0.00532100847981903,0.00274337708948779,"TLR4/CD74",2
"GO:0034599","cellular response to oxidative stress","4/28","264/18860",0.0151515151515152,10.2056277056277,5.8081219310114,0.000589733436724007,0.00542815417448727,0.0027986186936132,"LCN2/FBXO31/KDM6B/SOD1",4
"GO:0043410","positive regulation of MAPK cascade","5/28","474/18860",0.0105485232067511,7.10518384569018,5.19080139327279,0.000598144310834725,0.00545652065286547,0.00281324373080067,"TLR4/EPHA4/CD74/IL1B/SOD1",5
"GO:0002526","acute inflammatory response","3/28","112/18860",0.0267857142857143,18.0420918367347,6.97500564452844,0.000599365713970216,0.00545652065286547,0.00281324373080067,"LCN2/PTGS2/IL1B",3
"GO:0050870","positive regulation of T cell activation","4/28","267/18860",0.0149812734082397,10.0909577314072,5.76873591137416,0.000615275683271737,0.00557092004527561,0.00287222515760719,"CD74/IL1B/RUNX3/BCL6",4
"GO:0043371","negative regulation of CD4-positive, alpha-beta T cell differentiation","2/28","25/18860",0.08,53.8857142857143,10.202713456398,0.000624316670190361,0.00559199770181259,0.0028830922630183,"RUNX3/BCL6",2
"GO:0046697","decidualization","2/28","25/18860",0.08,53.8857142857143,10.202713456398,0.000624316670190361,0.00559199770181259,0.0028830922630183,"PTGS2/CTSB",2
"GO:0009636","response to toxic substance","4/28","270/18860",0.0148148148148148,9.97883597883598,5.72997000457787,0.000641596426278915,0.0057160408886667,0.00294704578577875,"LCN2/PTGS2/KDM6B/SOD1",4
"GO:0019217","regulation of fatty acid metabolic process","3/28","115/18860",0.0260869565217391,17.5714285714286,6.873157091784,0.000647361431286847,0.0057367241729994,0.00295770956287832,"CD74/PTGS2/IL1B",3
"GO:0060291","long-term synaptic potentiation","3/28","116/18860",0.0258620689655172,17.4199507389163,6.84005871735954,0.000663889116500305,0.00585205961952121,0.00301717359545669,"EPHA4/LGMN/MAPK1",3
"GO:0010623","programmed cell death involved in cell development","2/28","26/18860",0.0769230769230769,51.8131868131868,9.9972821035231,0.000675722480669788,0.00592501922524141,0.00305478971870663,"IL1B/SOD1",2
"GO:0001783","B cell apoptotic process","2/28","27/18860",0.0740740740740741,49.8941798941799,9.80323510373091,0.000729110720174777,0.00632655447818322,0.00326181111657137,"CD74/BCL6",2
"GO:1902993","positive regulation of amyloid precursor protein catabolic process","2/28","27/18860",0.0740740740740741,49.8941798941799,9.80323510373091,0.000729110720174777,0.00632655447818322,0.00326181111657137,"EPHA4/SP1",2
"GO:0032868","response to insulin","4/28","280/18860",0.0142857142857143,9.62244897959184,5.6050167822748,0.000735127476473929,0.00634571179173868,0.00327168814182016,"SP1/IL1B/MAPK1/EGR1",4
"GO:0033559","unsaturated fatty acid metabolic process","3/28","121/18860",0.0247933884297521,16.7001180637544,6.6805546491708,0.000750575751969911,0.00644566599372099,0.00332322199461447,"CD74/PTGS2/IL1B",3
"GO:0032609","type II interferon production","3/28","122/18860",0.0245901639344262,16.5632318501171,6.64979425663708,0.000768734993509547,0.00649222267777946,0.00334722544074559,"TLR4/IL1B/PDE4B",3
"GO:0032649","regulation of type II interferon production","3/28","122/18860",0.0245901639344262,16.5632318501171,6.64979425663708,0.000768734993509547,0.00649222267777946,0.00334722544074559,"TLR4/IL1B/PDE4B",3
"GO:0007611","learning or memory","4/28","284/18860",0.0140845070422535,9.48692152917505,5.55678224960837,0.000775115639186783,0.00649222267777946,0.00334722544074559,"LCN2/LGMN/MAPK1/GMFB",4
"GO:0002675","positive regulation of acute inflammatory response","2/28","28/18860",0.0714285714285714,48.1122448979592,9.61954908355524,0.000784475813260152,0.00649222267777946,0.00334722544074559,"PTGS2/IL1B",2
"GO:0015732","prostaglandin transport","2/28","28/18860",0.0714285714285714,48.1122448979592,9.61954908355524,0.000784475813260152,0.00649222267777946,0.00334722544074559,"PTGS2/IL1B",2
"GO:0036037","CD8-positive, alpha-beta T cell activation","2/28","28/18860",0.0714285714285714,48.1122448979592,9.61954908355524,0.000784475813260152,0.00649222267777946,0.00334722544074559,"IRF1/RUNX3",2
"GO:0070555","response to interleukin-1","3/28","123/18860",0.024390243902439,16.4285714285714,6.61939604258849,0.000787172257449851,0.00649222267777946,0.00334722544074559,"LCN2/IL1B/EGR1",3
"GO:1901796","regulation of signal transduction by p53 class mediator","3/28","123/18860",0.024390243902439,16.4285714285714,6.61939604258849,0.000787172257449851,0.00649222267777946,0.00334722544074559,"CD74/FBXO31/DYRK1A",3
"GO:0046634","regulation of alpha-beta T cell activation","3/28","124/18860",0.0241935483870968,16.2960829493088,6.58935274352737,0.000805889262867014,0.0066138498124948,0.003409933308268,"IRF1/RUNX3/BCL6",3
"GO:0045582","positive regulation of T cell differentiation","3/28","125/18860",0.024,16.1657142857143,6.5596572990942,0.000824887720363018,0.00672285538098096,0.00346613381618782,"CD74/RUNX3/BCL6",3
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","4/28","289/18860",0.013840830449827,9.32278793870489,5.49781635227608,0.00082724210870414,0.00672285538098096,0.00346613381618782,"CD74/IL1B/RUNX3/BCL6",4
"GO:0042113","B cell activation","4/28","291/18860",0.013745704467354,9.25871379479627,5.47463003208842,0.000848771775399199,0.0068643387272576,0.0035390790430544,"TLR4/KLF6/CD74/BCL6",4
"GO:0006690","icosanoid metabolic process","3/28","128/18860",0.0234375,15.7868303571429,6.47259038683785,0.00088358878471532,0.00711139572625953,0.00366645536907043,"CD74/PTGS2/IL1B",3
"GO:0046639","negative regulation of alpha-beta T cell differentiation","2/28","30/18860",0.0666666666666667,44.9047619047619,9.27977009673413,0.00090111431422166,0.00720389550139025,0.00371414590834298,"RUNX3/BCL6",2
"GO:0034341","response to type II interferon","3/28","129/18860",0.0232558139534884,15.6644518272425,6.44421957259971,0.000903729987869485,0.00720389550139025,0.00371414590834298,"TLR4/CD74/IRF1",3
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","2/28","31/18860",0.0645161290322581,43.4562211981567,9.1221808852799,0.000962376626980652,0.00759867042914581,0.00391768185390976,"CD74/LGMN",2
"GO:0034250","positive regulation of amide metabolic process","2/28","31/18860",0.0645161290322581,43.4562211981567,9.1221808852799,0.000962376626980652,0.00759867042914581,0.00391768185390976,"EPHA4/SP1",2
"GO:0043542","endothelial cell migration","4/28","302/18860",0.0132450331125828,8.92147587511826,5.35098967969493,0.000974337461361837,0.00765682174824915,0.0039476631999566,"LCN2/SP1/PTGS2/LGMN",4
"GO:0070372","regulation of ERK1 and ERK2 cascade","4/28","303/18860",0.0132013201320132,8.89203206034889,5.34006316852646,0.000986366869499693,0.0077149634018145,0.00397763956269706,"TLR4/EPHA4/CD74/IL1B",4
"GO:0050864","regulation of B cell activation","3/28","134/18860",0.0223880597014925,15.0799573560768,6.3069785258107,0.00100881726560362,0.00785368955371791,0.00404916325003716,"TLR4/CD74/BCL6",3
"GO:0010575","positive regulation of vascular endothelial growth factor production","2/28","32/18860",0.0625,42.0982142857143,8.97193192608112,0.00102559360304776,0.00791036547535911,0.0040783839185525,"PTGS2/IL1B",2
"GO:0090025","regulation of monocyte chemotaxis","2/28","32/18860",0.0625,42.0982142857143,8.97193192608112,0.00102559360304776,0.00791036547535911,0.0040783839185525,"CXCL10/LGMN",2
"GO:0033198","response to ATP","2/28","33/18860",0.0606060606060606,40.8225108225108,8.82846441379449,0.00109075972263705,0.00837421980605217,0.00431753545317405,"IL1B/SOD1",2
"GO:0002828","regulation of type 2 immune response","2/28","34/18860",0.0588235294117647,39.6218487394958,8.69127743201213,0.00115786947703754,0.00884867224194746,0.00456215110218559,"CD74/BCL6",2
"GO:0001666","response to hypoxia","4/28","317/18860",0.0126182965299685,8.49932401982875,5.19220550736084,0.00116598978550852,0.00884876123321369,0.00456219698382661,"LCN2/EPHA4/PTGS2/EGR1",4
"GO:0045621","positive regulation of lymphocyte differentiation","3/28","141/18860",0.0212765957446809,14.3313069908815,6.12676308176899,0.00116850388433794,0.00884876123321369,0.00456219698382661,"CD74/RUNX3/BCL6",3
"GO:0046632","alpha-beta T cell differentiation","3/28","143/18860",0.020979020979021,14.1308691308691,6.07761933001543,0.00121688823337195,0.0091661180990053,0.00472581813912196,"IRF1/RUNX3/BCL6",3
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","2/28","35/18860",0.0571428571428571,38.4897959183673,8.5599204604666,0.00122691736859435,0.0091661180990053,0.00472581813912196,"CD74/LGMN",2
"GO:0061081","positive regulation of myeloid leukocyte cytokine production involved in immune response","2/28","35/18860",0.0571428571428571,38.4897959183673,8.5599204604666,0.00122691736859435,0.0091661180990053,0.00472581813912196,"TLR4/CD74",2
"GO:0010212","response to ionizing radiation","3/28","145/18860",0.0206896551724138,13.935960591133,6.02945269812026,0.00126652206974248,0.0094197578937097,0.00485658838773432,"LCN2/CXCL10/EGR1",3
"GO:0002702","positive regulation of production of molecular mediator of immune response","3/28","146/18860",0.0205479452054795,13.8405088062622,6.00572540656094,0.00129181140544491,0.00952554149431344,0.00491112773068792,"TLR4/CD74/IL1B",3
"GO:0001893","maternal placenta development","2/28","36/18860",0.0555555555555556,37.4206349206349,8.4339870347355,0.00129789791068977,0.00952554149431344,0.00491112773068792,"PTGS2/CTSB",2
"GO:0090075","relaxation of muscle","2/28","36/18860",0.0555555555555556,37.4206349206349,8.4339870347355,0.00129789791068977,0.00952554149431344,0.00491112773068792,"PDE4B/SOD1",2
"GO:0036293","response to decreased oxygen levels","4/28","330/18860",0.0121212121212121,8.16450216450216,5.06285397751994,0.00135235055770175,0.0098015544025278,0.00505343298948802,"LCN2/EPHA4/PTGS2/EGR1",4
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","2/28","37/18860",0.0540540540540541,36.4092664092664,8.31310935461173,0.00137080562772448,0.0098015544025278,0.00505343298948802,"CD74/LGMN",2
"GO:0032743","positive regulation of interleukin-2 production","2/28","37/18860",0.0540540540540541,36.4092664092664,8.31310935461173,0.00137080562772448,0.0098015544025278,0.00505343298948802,"IL1B/PDE4B",2
"GO:0045540","regulation of cholesterol biosynthetic process","2/28","37/18860",0.0540540540540541,36.4092664092664,8.31310935461173,0.00137080562772448,0.0098015544025278,0.00505343298948802,"MAPK1/LPCAT3",2
"GO:0106118","regulation of sterol biosynthetic process","2/28","37/18860",0.0540540540540541,36.4092664092664,8.31310935461173,0.00137080562772448,0.0098015544025278,0.00505343298948802,"MAPK1/LPCAT3",2
"GO:2000515","negative regulation of CD4-positive, alpha-beta T cell activation","2/28","37/18860",0.0540540540540541,36.4092664092664,8.31310935461173,0.00137080562772448,0.0098015544025278,0.00505343298948802,"RUNX3/BCL6",2
"GO:0046328","regulation of JNK cascade","3/28","150/18860",0.02,13.4714285714286,5.91309780750164,0.00139615380404217,0.00982837650288495,0.00506726178451641,"TLR4/EPHA4/IL1B",3
"GO:0071675","regulation of mononuclear cell migration","3/28","150/18860",0.02,13.4714285714286,5.91309780750164,0.00139615380404217,0.00982837650288495,0.00506726178451641,"CXCL10/LGMN/MAPK1",3
"GO:2000377","regulation of reactive oxygen species metabolic process","3/28","150/18860",0.02,13.4714285714286,5.91309780750164,0.00139615380404217,0.00982837650288495,0.00506726178451641,"TLR4/LCN2/SOD1",3
"GO:0050890","cognition","4/28","333/18860",0.012012012012012,8.09094809094809,5.03400908878165,0.00139815440047043,0.00982837650288495,0.00506726178451641,"LCN2/LGMN/MAPK1/GMFB",4
"GO:0120161","regulation of cold-induced thermogenesis","3/28","151/18860",0.0198675496688742,13.3822138126774,5.8904925133369,0.00142304321809263,0.00995218182559696,0.00513109267055482,"TLR4/LCN2/KDM6B",3
"GO:0010934","macrophage cytokine production","2/28","38/18860",0.0526315789473684,35.4511278195489,8.19695367780496,0.00144563505509872,0.00995218182559696,0.00513109267055482,"TLR4/CD74",2
"GO:0010935","regulation of macrophage cytokine production","2/28","38/18860",0.0526315789473684,35.4511278195489,8.19695367780496,0.00144563505509872,0.00995218182559696,0.00513109267055482,"TLR4/CD74",2
"GO:0032872","regulation of stress-activated MAPK cascade","2/28","38/18860",0.0526315789473684,35.4511278195489,8.19695367780496,0.00144563505509872,0.00995218182559696,0.00513109267055482,"TLR4/MAPK1",2
"GO:0070229","negative regulation of lymphocyte apoptotic process","2/28","38/18860",0.0526315789473684,35.4511278195489,8.19695367780496,0.00144563505509872,0.00995218182559696,0.00513109267055482,"CD74/BCL6",2
"GO:0034614","cellular response to reactive oxygen species","3/28","153/18860",0.0196078431372549,13.2072829131653,5.84591875374162,0.00147779708365876,0.0101317281538086,0.00522366220604526,"LCN2/KDM6B/SOD1",3
"GO:0106106","cold-induced thermogenesis","3/28","154/18860",0.0194805194805195,13.121521335807,5.82394344299793,0.00150566449239791,0.0102269609334533,0.00527276181316602,"TLR4/LCN2/KDM6B",3
"GO:2001235","positive regulation of apoptotic signaling pathway","3/28","154/18860",0.0194805194805195,13.121521335807,5.82394344299793,0.00150566449239791,0.0102269609334533,0.00527276181316602,"TLR4/SP1/SOD1",3
"GO:0043516","regulation of DNA damage response, signal transduction by p53 class mediator","2/28","39/18860",0.0512820512820513,34.5421245421245,8.0852163672537,0.00152238073919352,0.0102269609334533,0.00527276181316602,"CD74/DYRK1A",2
"GO:0045589","regulation of regulatory T cell differentiation","2/28","39/18860",0.0512820512820513,34.5421245421245,8.0852163672537,0.00152238073919352,0.0102269609334533,0.00527276181316602,"IRF1/BCL6",2
"GO:0150146","cell junction disassembly","2/28","39/18860",0.0512820512820513,34.5421245421245,8.0852163672537,0.00152238073919352,0.0102269609334533,0.00527276181316602,"EPHA4/IL1B",2
"GO:0022409","positive regulation of cell-cell adhesion","4/28","343/18860",0.0116618075801749,7.85506039150354,4.9404118540046,0.00155869550823648,0.0104288623161525,0.00537685704807004,"CD74/IL1B/RUNX3/BCL6",4
"GO:0070302","regulation of stress-activated protein kinase signaling cascade","2/28","40/18860",0.05,33.6785714285714,7.97762048518085,0.00160103723735195,0.0106268049299934,0.00547891124210187,"TLR4/MAPK1",2
"GO:0070498","interleukin-1-mediated signaling pathway","2/28","40/18860",0.05,33.6785714285714,7.97762048518085,0.00160103723735195,0.0106268049299934,0.00547891124210187,"IL1B/EGR1",2
"GO:0071456","cellular response to hypoxia","3/28","159/18860",0.0188679245283019,12.7088948787062,5.71705245802636,0.00164996473869762,0.0109081002169454,0.00562393996147559,"LCN2/EPHA4/PTGS2",3
"GO:0002478","antigen processing and presentation of exogenous peptide antigen","2/28","41/18860",0.0487804878048781,32.8571428571429,7.87391284669398,0.00168159911786038,0.0110297013006118,0.00568663439773755,"CD74/LGMN",2
"GO:0032728","positive regulation of interferon-beta production","2/28","41/18860",0.0487804878048781,32.8571428571429,7.87391284669398,0.00168159911786038,0.0110297013006118,0.00568663439773755,"TLR4/IRF1",2
"GO:0070482","response to oxygen levels","4/28","357/18860",0.0112044817927171,7.54701880752301,4.81555941194475,0.00180453578257548,0.0117896337794932,0.00607843632025426,"LCN2/EPHA4/PTGS2/EGR1",4
"GO:0014002","astrocyte development","2/28","43/18860",0.0465116279069767,31.328903654485,7.67725330401979,0.00184841735367724,0.0118898197344644,0.00613008965901496,"TLR4/IL1B",2
"GO:0014044","Schwann cell development","2/28","43/18860",0.0465116279069767,31.328903654485,7.67725330401979,0.00184841735367724,0.0118898197344644,0.00613008965901496,"MAPK1/SOD1",2
"GO:0032735","positive regulation of interleukin-12 production","2/28","43/18860",0.0465116279069767,31.328903654485,7.67725330401979,0.00184841735367724,0.0118898197344644,0.00613008965901496,"TLR4/IRF1",2
"GO:0045066","regulatory T cell differentiation","2/28","43/18860",0.0465116279069767,31.328903654485,7.67725330401979,0.00184841735367724,0.0118898197344644,0.00613008965901496,"IRF1/BCL6",2
"GO:0036294","cellular response to decreased oxygen levels","3/28","167/18860",0.0179640718562874,12.1000855431993,5.55565388413219,0.00189839796244162,0.0121643500208759,0.00627163051559661,"LCN2/EPHA4/PTGS2",3
"GO:0032309","icosanoid secretion","2/28","44/18860",0.0454545454545455,30.6168831168831,7.58389236521587,0.00193466290010694,0.0123492275539393,0.00636694868516741,"PTGS2/IL1B",2
"GO:0042092","type 2 immune response","2/28","45/18860",0.0444444444444444,29.9365079365079,7.49359794180431,0.00202279221109191,0.0128135810786278,0.00660635759155893,"CD74/BCL6",2
"GO:1900271","regulation of long-term synaptic potentiation","2/28","45/18860",0.0444444444444444,29.9365079365079,7.49359794180431,0.00202279221109191,0.0128135810786278,0.00660635759155893,"EPHA4/LGMN",2
"GO:1990845","adaptive thermogenesis","3/28","171/18860",0.0175438596491228,11.8170426065163,5.47903010467732,0.00203090571441882,0.0128162459099309,0.00660773151102774,"TLR4/LCN2/KDM6B",3
