"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030593","neutrophil chemotaxis","4/28","83/18860",0.0481927710843374,32.4612736660929,11.0762402349715,6.58730059401917e-06,0.00039194438534414,0.000202076589651114,"CXCL10/CD74/IL1B/PDE4B",4
"GO:0045723","positive regulation of fatty acid biosynthetic process","3/28","26/18860",0.115384615384615,77.7197802197802,15.0942960652566,7.44694443722987e-06,0.000414523030803056,0.000213717566901683,"CD74/PTGS2/IL1B",3
"GO:0060326","cell chemotaxis","6/28","330/18860",0.0181818181818182,12.2467532467532,7.94761005051167,7.46440031458084e-06,0.000414523030803056,0.000213717566901683,"CXCL10/CD74/LGMN/IL1B/MAPK1/PDE4B",6
"GO:0045580","regulation of T cell differentiation","5/28","194/18860",0.0257731958762887,17.360088365243,8.83183613247139,8.86806955647644e-06,0.00045475318442424,0.000234459214311101,"CD74/IRF1/RUNX3/BCL6/SOD1",5
"GO:0048708","astrocyte differentiation","4/28","90/18860",0.0444444444444444,29.9365079365079,10.6102437424024,9.09447412264663e-06,0.00045475318442424,0.000234459214311101,"TLR4/EPHA4/IL1B/MAPK1",4
"GO:0050810","regulation of steroid biosynthetic process","4/28","90/18860",0.0444444444444444,29.9365079365079,10.6102437424024,9.09447412264663e-06,0.00045475318442424,0.000234459214311101,"IGFBP7/MAPK1/LPCAT3/EGR1",4
"GO:1902105","regulation of leukocyte differentiation","6/28","343/18860",0.0174927113702624,11.7825905872553,7.77096558043168,9.30543622613801e-06,0.00045475318442424,0.000234459214311101,"TLR4/CD74/IRF1/RUNX3/BCL6/SOD1",6
"GO:0007565","female pregnancy","5/28","197/18860",0.0253807106598985,17.0957215373459,8.7567501443183,9.55363832824034e-06,0.00045475318442424,0.000234459214311101,"PTGS2/IGFBP7/IL1B/CTSB/SOD1",5
"GO:0032496","response to lipopolysaccharide","6/28","350/18860",0.0171428571428571,11.5469387755102,7.67975492166968,1.043990518512e-05,0.000483135612178055,0.000249092474592338,"TLR4/LCN2/CXCL10/IL1B/MAPK1/PDE4B",6
"GO:0071214","cellular response to abiotic stimulus","6/28","355/18860",0.0169014084507042,11.3843058350101,7.61618045171472,1.13170133875312e-05,0.000491231089689098,0.000253266297584068,"TLR4/LCN2/PTGS2/IRF1/IL1B/EGR1",6
"GO:0104004","cellular response to environmental stimulus","6/28","355/18860",0.0169014084507042,11.3843058350101,7.61618045171472,1.13170133875312e-05,0.000491231089689098,0.000253266297584068,"TLR4/LCN2/PTGS2/IRF1/IL1B/EGR1",6
"GO:0070661","leukocyte proliferation","6/28","356/18860",0.0168539325842697,11.3523274478331,7.60361839565512,1.14994072616295e-05,0.000491231089689098,0.000253266297584068,"TLR4/CD74/IRF1/IL1B/MAPK1/BCL6",6
"GO:0002690","positive regulation of leukocyte chemotaxis","4/28","97/18860",0.0412371134020619,27.7761413843888,10.1946622833314,1.2244475518946e-05,0.000497890253465872,0.000256699593623651,"CXCL10/CD74/LGMN/MAPK1",4
"GO:0062012","regulation of small molecule metabolic process","6/28","360/18860",0.0166666666666667,11.2261904761905,7.55386792427126,1.22530014358348e-05,0.000497890253465872,0.000256699593623651,"CD74/PTGS2/IL1B/MAPK1/LPCAT3/EGR1",6
"GO:0001516","prostaglandin biosynthetic process","3/28","31/18860",0.0967741935483871,65.184331797235,13.7907017660022,1.28107792162776e-05,0.000508160908912343,0.000261994883220112,"CD74/PTGS2/IL1B",3
"GO:0044703","multi-organism reproductive process","5/28","217/18860",0.0230414746543779,15.5200789993417,8.2952803764161,1.52523457970211e-05,0.000571896729862036,0.000294855456856903,"PTGS2/IGFBP7/IL1B/CTSB/SOD1",5
"GO:0002237","response to molecule of bacterial origin","6/28","375/18860",0.016,10.7771428571429,7.37408247164825,1.54443431061167e-05,0.000571896729862036,0.000294855456856903,"TLR4/LCN2/CXCL10/IL1B/MAPK1/PDE4B",6
