GeneSymbol,MedianRank,N_Datasets,Up_Count,Down_Count,Direction,AllRanks
SETD7,-0.4928843810153489,2,1,1,Down,"-1.28,0.30"
EBF3,-0.5281384983889246,2,0,2,Down,"-0.96,-0.10"
BAP1,-0.6916513604241616,4,1,3,Down,"-0.11,-1.27,-5.14,0.87"
MCU,-0.7336938594659796,4,2,2,Down,"-1.76,4.75,-1.91,0.29"
SOCS2,-0.7668212371348565,4,2,2,Down,"0.37,-4.79,-1.90,1.95"
ALOX15,-0.7818074062067562,3,0,3,Down,"-0.26,-0.93,-0.78"
ACSL4,-0.8653310187551086,4,2,2,Down,"-1.97,5.33,-3.59,0.24"
DPEP1,-0.9717976245532132,3,1,2,Down,"0.11,-1.67,-0.97"
DPP4,-1.5831215906779392,4,1,3,Down,"0.37,-1.93,-1.47,-1.69"
SOD1,-1.6744189950400041,4,1,3,Down,"-1.19,-7.02,-2.16,0.48"
KEAP1,-1.7040841255817214,4,0,4,Down,"-1.22,-0.64,-2.19,-3.68"
EGR1,-2.150183608096623,4,1,3,Down,"-3.83,2.19,-4.17,-0.47"
MEN1,-2.372824606534976,4,0,4,Down,"-0.59,-4.16,-3.04,-1.70"
SNCA,-2.6486833031332626,4,1,3,Down,"-3.83,0.38,-4.04,-1.47"
ICA1,-2.8155712778419537,4,1,3,Down,"-1.63,1.09,-5.31,-4.00"
FBXO31,-3.441701577106476,4,0,4,Down,"-2.27,-4.62,-5.86,-1.51"
PPP2R2B,-3.588620535010624,4,0,4,Down,"-3.06,-4.34,-4.12,-3.00"
EPHA4,-4.422144335325264,4,0,4,Down,"-2.73,-4.51,-6.12,-4.33"
