"Name","Score","Gene"
"1368187_at",1.34753961185391e-07,"1368187_at"
"1370215_at",1.65032370709341e-06,"1370215_at"
"1386879_at",1.81120945832491e-06,"1386879_at"
"1370885_at",2.93356677710584e-06,"1370885_at"
"1370249_at",6.59898624013238e-06,"1370249_at"
"1392894_at",8.61822266373863e-06,"1392894_at"
"1375633_at",1.01137679381145e-05,"1375633_at"
"1390687_at",1.09063479043815e-05,"1390687_at"
"1383131_at",1.43753135480882e-05,"1383131_at"
"1373025_at",1.48425257388078e-05,"1373025_at"
"1374730_at",1.57993403341079e-05,"1374730_at"
"1383516_at",1.78025199199775e-05,"1383516_at"
"1368270_at",1.83219689696715e-05,"1368270_at"
"1390866_at",1.88488789335569e-05,"1390866_at"
"1367974_at",1.99250801097593e-05,"1367974_at"
"1386925_at",2.15953293922921e-05,"1386925_at"
"1370904_at",2.33327067325177e-05,"1370904_at"
"1368482_at",2.39267481157851e-05,"1368482_at"
"1367709_at",4.04200361679932e-05,"1367709_at"
"1385605_at",4.4396305068251e-05,"1385605_at"
"1371079_at",4.60389397012862e-05,"1371079_at"
"1373523_at",4.68714256117902e-05,"1373523_at"
"1368207_at",5.74418778644403e-05,"1368207_at"
"1367712_at",5.83711226755072e-05,"1367712_at"
"1388740_at",6.21625019887094e-05,"1388740_at"
"1377671_at",6.90837985900444e-05,"1377671_at"
"1367973_at",7.21616201602622e-05,"1367973_at"
"1371653_at",7.74400209344418e-05,"1371653_at"
"1385925_at",8.17965430364768e-05,"1385925_at"
"1380410_at",9.20334416613371e-05,"1380410_at"
"1369952_at",9.79806204616196e-05,"1369952_at"
"1395313_s_at",0.000100411480638679,"1395313_s_at"
"1370422_at",0.000102872044144973,"1370422_at"
"1378140_at",0.000110431924809814,"1378140_at"
"1367581_a_at",0.000118259028056445,"1367581_a_at"
"1367850_at",0.000123625514111161,"1367850_at"
"1372064_at",0.000127728280733326,"1372064_at"
"1370219_at",0.000131897809385465,"1370219_at"
"1390798_at",0.000133302486536775,"1390798_at"
"1374468_at",0.000134714580200527,"1374468_at"
"1388887_at",0.000141886283161534,"1388887_at"
"1367574_at",0.000146278279235493,"1367574_at"
"1372404_at",0.000147757104740403,"1372404_at"
"1369204_at",0.000150736993734754,"1369204_at"
"1372097_at",0.000159854537765339,"1372097_at"
