OriginalID,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,Dataset,Species
1378366_at,4930542C12Rik,0.0017403706034735,4.99341358347184,0.986342986554957,0.990035843490708,GSE61616,Rat
1369509_a_at,A1bg,-0.19597007369869,3.33567345843183,0.001398641476196,0.0048734474372851,GSE61616,Rat
1368784_at,A1cf,-0.101763689193891,4.70833426666949,0.145169181058801,0.21502268821431,GSE61616,Rat
1370027_a_at,A1i3 /// Cpamd8 /// LOC100911833 /// Mug1,-0.180262579796246,3.93625195822737,0.0119031300878223,0.0274386956193897,GSE61616,Rat
1367794_at,A2m /// LOC100911545,4.78899648372718,9.57062304622198,5.76428917745198e-09,5.43223118574482e-07,GSE61616,Rat
1370561_at,A3galt2,0.949707273488188,4.95939907004978,0.0002674076057225,0.0013500177159682,GSE61616,Rat
1369027_at,A4galt,-0.217089045979067,4.31185640554403,0.0032965288908653,0.0096433780431775,GSE61616,Rat
1376037_at,Aaas,-0.165119959222424,5.85750410940012,0.097135967350823,0.15469231097108,GSE61616,Rat
1368126_at,Aacs,-0.967855093626212,7.93231255994167,1.47620225694175e-05,0.0001591222649196,GSE61616,Rat
1369492_at,Aadac,-0.0095534806362338,3.51509163763588,0.925825439443771,0.944857924231436,GSE61616,Rat
1387223_at,Aadat,0.730291461575718,7.27229493857428,0.0005844365454784,0.0024706348106641,GSE61616,Rat
1382170_at,Aaed1,-0.416486719637497,4.8924073898282,0.0012983662248681,0.0045982351802782,GSE61616,Rat
1392837_at,Aagab,-0.452473455353917,9.48336873250792,0.0002008850971652,0.0010880882910599,GSE61616,Rat
1381358_at,Aak1,-0.645780113121673,7.11431591840296,6.07649865477318e-06,8.41375920145998e-05,GSE61616,Rat
1383104_at,Aamdc,0.201101885580069,8.50774616342787,0.0127889182128428,0.029096299883588,GSE61616,Rat
1380987_at,Aamp,-0.135233920598659,4.40220640399651,0.144225847223114,0.2138801021788,GSE61616,Rat
1387255_at,Aanat,-0.154471845143749,4.60741621572912,0.0612995100301013,0.105917579493117,GSE61616,Rat
1395383_at,Aar2,-0.154877079025246,8.3438068192089,0.047409331274554,0.0855955177536927,GSE61616,Rat
1370459_at,Aard,0.992952950559898,7.21831955462695,0.010956740013346,0.0256198238853418,GSE61616,Rat
1388394_at,Aars,-0.215310310642319,10.85501976877,0.0022587558803658,0.0071554496407758,GSE61616,Rat
1378476_at,Aars2,-0.262501214307193,6.21983026922201,0.0209759337370822,0.0436572963525373,GSE61616,Rat
1373135_at,Aarsd1,-0.235953637495244,9.25340161763822,0.003053329558837,0.0090779632839648,GSE61616,Rat
1374981_at,Aasdh,-0.29182757052056,7.73019091599345,0.0010679506806835,0.0039406974630492,GSE61616,Rat
1379353_at,Aasdhppt,0.284718006874252,10.1989048595384,0.0039897132943572,0.0112540674595207,GSE61616,Rat
1377375_at,Aass,-0.313886021776701,7.69500371022362,0.0076628973342161,0.0191828418414867,GSE61616,Rat
1368330_at,Aatf,0.0485446464036533,7.4884441478087,0.528950003178785,0.612291228647995,GSE61616,Rat
