OriginalID,GeneSymbol,logFC,logCPM,PValue,FDR,Dataset,Species
Hspa1a,HSPA1A,5.22131731103887,6.15444755072429,1.7028995187340198e-62,2.9179183253507503e-58,GSE104036,Mouse
Hspa1b,HSPA1B,5.77502052662302,7.44147417394107,2.78744069498767e-50,2.38813981543068e-46,GSE104036,Mouse
Gpr84,GPR84,5.63507561533157,1.98569681569262,2.03847253712135e-46,1.1643075641191399e-42,GSE104036,Mouse
Hmox1,HMOX1,3.72586965092192,4.4258507448705,6.44490433539122e-37,2.76083589467321e-33,GSE104036,Mouse
Osmr,OSMR,2.70682297735774,4.86622066096669,7.961619639467389e-33,2.72844705044548e-29,GSE104036,Mouse
Atf3,ATF3,4.12664268861636,3.15363672918838,2.0711013577621002e-32,5.91472029420894e-29,GSE104036,Mouse
Hspb1,HSPB1,3.40283766475329,3.27969629319329,2.15621655008324e-30,5.27811008366804e-27,GSE104036,Mouse
Tlr2,TLR2,4.34059166775815,2.36974974111557,1.01091511837729e-28,2.16525381917436e-25,GSE104036,Mouse
Sbno2,SBNO2,1.79440858906013,4.980291164777,3.56790452962227e-27,6.79289379056418e-24,GSE104036,Mouse
Nptx2,NPTX2,2.08191713493129,6.88421555591094,3.34612730961136e-26,5.73358914501907e-23,GSE104036,Mouse
Tnf,TNF,5.05819222782941,-0.063942439686828,7.284511206801681e-25,1.1347281775322401e-21,GSE104036,Mouse
A2m,A2M,5.11459918269195,4.98268763977893,6.6126975267693404e-24,9.44238101009938e-21,GSE104036,Mouse
Tnfrsf1a,TNFRSF1A,2.28543925036271,3.6224346876856,1.9443748029596e-21,2.56283555759329e-18,GSE104036,Mouse
Camkk2,CAMKK2,-1.05492387614737,6.66849987397857,3.97639232687292e-21,4.8668201800691e-18,GSE104036,Mouse
C5ar1,C5AR1,3.76200247858816,1.80800190310897,5.19463873522277e-21,5.93400898186948e-18,GSE104036,Mouse
Cd244,CD244,5.31385452579463,0.163672984358177,6.6110678134333004e-21,7.08004043644872e-18,GSE104036,Mouse
Msr1,MSR1,6.19124571591878,3.11464268160987,1.0258888796844401e-20,1.03403564431723e-17,GSE104036,Mouse
Gpr35,GPR35,4.59263972594259,1.35816001088653,2.2400127053821502e-20,2.1323676503735e-17,GSE104036,Mouse
Cdkn1a,CDKN1A,1.48758127935381,4.07257251417308,2.80497681355069e-20,2.5296461947468998e-17,GSE104036,Mouse
Ccl3,CCL3,6.35172423391554,1.16154642435512,3.14546225955399e-20,2.69487479087288e-17,GSE104036,Mouse
Piezo1,PIEZO1,1.98469220357905,4.1430104577855,5.2721003680886904e-20,4.30178284796189e-17,GSE104036,Mouse
Txnrd1,TXNRD1,1.13834872292706,5.96896393186654,1.15422518069159e-19,8.98984021415927e-17,GSE104036,Mouse
Lilrb4,LILRB4,4.97710369481327,2.6442694751642,2.11531424266297e-19,1.57590911078391e-16,GSE104036,Mouse
Slc10a6,SLC10A6,4.25571834725562,1.06900799637807,8.26219266742538e-19,5.89886130651391e-16,GSE104036,Mouse
Hsph1,HSPH1,1.92186260666448,8.707855367793,1.12622180463055e-18,7.71912424893781e-16,GSE104036,Mouse
Ccl4,CCL4,8.25973249393855,1.60556975760288,1.83036969591934e-18,1.2062840284453001e-15,GSE104036,Mouse
Ttll13,TTLL13,2.62526861838508,1.88738970214007,2.20357472431978e-18,1.39845381115627e-15,GSE104036,Mouse
Ddx21,DDX21,1.162934586608,4.96570534165823,4.62039097531956e-18,2.8275142629321704e-15,GSE104036,Mouse
Gadd45g,GADD45G,1.64518881146992,3.34634978956464,6.40986136074332e-18,3.78734394539093e-15,GSE104036,Mouse
Ptgs2,PTGS2,1.3519471284656,5.27000147160011,1.7929262689147302e-17,1.02405972059513e-14,GSE104036,Mouse
Hbegf,HBEGF,1.52281062875893,4.10779234143244,2.5888004498101e-17,1.43093857120955e-14,GSE104036,Mouse
