"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005775","vacuolar lumen","4/28","179/19944",0.0223463687150838,15.9169992019154,7.51679617564717,0.000108553252081492,0.014763242283083,0.0125693239252254,"CD74/LGMN/MAPK1/CTSB",4
"GO:0043202","lysosomal lumen","3/28","99/19944",0.0303030303030303,21.5844155844156,7.69845877627302,0.000355163514134692,0.024151118961159,0.0205620981867453,"CD74/LGMN/CTSB",3
"GO:0036019","endolysosome","2/28","31/19944",0.0645161290322581,45.9539170506912,9.3918952776934,0.000861848999219554,0.0390704879646198,0.0332643473382986,"LGMN/CTSB",2
"GO:0031904","endosome lumen","2/28","38/19944",0.0526315789473684,37.4887218045113,8.44173374576878,0.00129507848951772,0.0440326686436025,0.0374891141702498,"LGMN/CTSB",2
