"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe","Dataset","Species"
-0.108822255369715,8.02163009276803,-2.2275339437768,0.0292507009530363,0.113626119569111,-4.14356478066196,"ILMN_1809034","GSE16561","Human"
0.235334451445542,8.70949297025084,3.3721563966423,0.00123831536153715,0.0096343527224446,-1.30983740244297,"ILMN_1660305","GSE16561","Human"
-0.0220315639928663,7.48020183649796,-1.01215412042665,0.315080340448822,0.565709220896774,-6.014565333104,"ILMN_1762337","GSE16561","Human"
0.00591708140239339,7.91134247236487,0.14315970359402,0.886590737715645,0.951374175451966,-6.50922644930675,"ILMN_2055271","GSE16561","Human"
0.0268817035300811,7.42273754618631,1.10688412566958,0.272274747116109,0.52031424262142,-5.91654945341457,"ILMN_1814316","GSE16561","Human"
-0.00153833972048768,7.59577694098371,-0.0601459042627586,0.952217226310997,0.980187183862829,-6.51760607966642,"ILMN_2359168","GSE16561","Human"
-0.0101088536595726,7.48724107804976,-0.402658587512967,0.688472348784231,0.851899883380881,-6.43898583307595,"ILMN_1731507","GSE16561","Human"
0.0115074806462785,7.68283942688455,0.361654906946001,0.718740049871514,0.869025034493513,-6.45451460198317,"ILMN_1787689","GSE16561","Human"
-0.0162284265792328,7.52945938892306,-0.470137327322682,0.639773008875474,0.822335429956733,-6.40982321715862,"ILMN_1745607","GSE16561","Human"
1.85852978891947e-06,7.53837942483581,6.54688042034131e-05,0.999947956635792,0.999947956635792,-6.51940248431688,"ILMN_2136495","GSE16561","Human"
0.0232760534879462,7.38936886944382,1.04954803343688,0.297670820966296,0.547888018013274,-5.97688656450498,"ILMN_1668111","GSE16561","Human"
-0.0107046683619639,7.58552509094021,-0.377563267637878,0.706940144978834,0.862044815744403,-6.44868679791894,"ILMN_2295559","GSE16561","Human"
-0.0120429505579719,7.55760007817352,-0.450934441308652,0.65348269279824,0.83060020399138,-6.41857853079764,"ILMN_1735045","GSE16561","Human"
0.0617082821362862,7.7912810365834,2.00151689626752,0.0493603272042086,0.166875582070451,-4.58802930984862,"ILMN_1680754","GSE16561","Human"
0.000653231766371987,7.62643951575746,0.0323599080814703,0.974280571154474,0.989666630530072,-6.51888247180012,"ILMN_2375184","GSE16561","Human"
