MOL_ID,molecule_name,SMILES,ALOX15,BCL6,CD74,CTSB,CXCL10,DYRK1A,EPHA4,HIF1A,HMOX1,IL1B,KDM6B,KEAP1,LCN2,LGMN,LPCAT3,MAPK1,NOX4,PDE4B,PTGS2,SAT1,SP1,TFRC,TLR4,avg_score,max_score,n_hits,n_high,consistency,composite_score,n_targets,top_targets,rank,source_herbs,rank_bin
MOL005317,Deoxyharringtonine,COC(=O)C[C@](O)(CCC(C)C)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,0.6016652286052704,0.441596008837223,0.2756321635097265,0.704674631357193,0.21096196398139,0.620326578617096,0.6087866425514221,0.9280166923999786,0.038071297109127,0.6335886418819427,0.3621385246515274,0.7584568560123444,0.2765979189425707,0.3123644813895225,0.1463046069256961,0.4923147410154342,0.6375688910484314,0.7285298705101013,0.6940033137798309,0.1848109513521194,0.1526685580611229,0.0108367768116295,0.5623402893543243,0.4514024186393489,0.9280166923999786,11,4,0.7494391006639589,0.6733449724274306,23,"HIF1A(0.928), KEAP1(0.758), PDE4B(0.729), CTSB(0.705), PTGS2(0.694)",8,人参,1-49
MOL000787,Fumarine,C[C@@H]1CC[C@]2(C)C(C=O)=CCC[C@H]2[C@]1(C)C[C@@H](O)[C@]1([C@H](O)CO)CO1,0.8557997941970825,0.2384511979225863,0.1904110735922586,0.7659002244472504,0.0589634520001709,0.3532139863818884,0.3522796593606472,0.825713723897934,0.0059313609963282,0.6859751641750336,0.2994091287255287,0.5557809248566628,0.2594297205796465,0.2922899909317493,0.127212960505858,0.2438887655735016,0.5299521684646606,0.3076123874634504,0.8539722859859467,0.249161384999752,0.1714796498417854,0.002061974199023,0.6287601292133331,0.3849413525353077,0.8557997941970825,8,4,0.7340131335779125,0.5109796583012326,23,"ALOX15(0.856), PTGS2(0.854), HIF1A(0.826), CTSB(0.766), IL1B(0.686)",100,"人参, 大枣",100-199
MOL004941,(2R)-7-hydroxy-2-(4-hydroxyphenyl)chroman-4-one,O=C1C[C@H](c2ccc(O)cc2)Oc2cc(O)ccc21,0.8095170259475708,0.1988173453573836,0.0318514815326125,0.2893904224038124,0.0022483650338926,0.8677347302436829,0.2106265425682068,0.8526146709918976,0.0082113978569395,0.0812487192451953,0.222969280090183,0.3853668859228492,0.0455855607578996,0.1521769214014057,0.0053995478810975,0.7110149562358856,0.7149823307991028,0.7098729312419891,0.8223650455474854,0.0067881015129387,0.0052482214523479,0.0003304604288132,0.1166722774505615,0.3152623139958154,0.8677347302436829,7,7,0.6730441700071975,0.487031989998626,23,"DYRK1A(0.868), HIF1A(0.853), PTGS2(0.822), ALOX15(0.810), NOX4(0.715)",127,甘草,100-199
MOL013187,Cubebin,O[C@H]1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,0.8901867568492889,0.3046107092231978,0.1325138278343729,0.4672728329896927,0.0325372136653641,0.8285927474498749,0.2758334539830684,0.8567497730255127,0.011977404821664,0.259677954018116,0.3362990394234657,0.4296452839625999,0.1352466834505321,0.2167245221498888,0.0346156296145636,0.5967054069042206,0.6862704455852509,0.699582427740097,0.8235357105731964,0.0436373008415102,0.0334344459697604,0.0010508320992812,0.2318751886487007,0.3621119822097052,0.8901867568492889,7,4,0.6988324276548679,0.4817852578541978,23,"ALOX15(0.890), HIF1A(0.857), DYRK1A(0.829), PTGS2(0.824), PDE4B(0.700)",136,柴胡,100-199
MOL002909,"5,7,2,5-tetrahydroxy-8,6-dimethoxyflavone",C=C1C[C@@H](OC(C)=O)/C=C(/C)CC[C@@H]2/C(=C/C=C/C(C)(C)O)CO[C@H](O)[C@@H]12,0.7219633460044861,0.2009605522034689,0.0752572112833149,0.5777101814746857,0.0098164702067151,0.676602840423584,0.4197142720222473,0.7996835708618164,0.0367706772813107,0.3779141157865524,0.1709501538425684,0.5323614031076431,0.1148881930857896,0.2176476758904755,0.0282990210689604,0.7018148601055145,0.6073068827390671,0.5827475637197495,0.8421387076377869,0.0503865294158458,0.0299044055864214,0.0040529210818931,0.3387235701084137,0.3529397880407961,0.8421387076377869,9,4,0.7159258469387078,0.47971815224976,23,"PTGS2(0.842), HIF1A(0.800), ALOX15(0.722), MAPK1(0.702), DYRK1A(0.677)",142,黄芩,100-199
MOL012976,coumestrol,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,0.7267883718013763,0.2113639454182703,0.0401693625978509,0.2336235418915748,0.0032415898954401,0.8911696970462799,0.3240479230880737,0.7299141585826874,0.0269543306058039,0.0493923614849336,0.089182143099606,0.3880976950749755,0.05143838719232,0.1540018755204073,0.0069941260808263,0.7591458857059479,0.7702654898166656,0.5524509996175766,0.8017950654029846,0.0060499031096696,0.0077111045247875,0.0009534112577966,0.0562535282224416,0.2991741259581868,0.8911696970462799,7,6,0.6829793777370701,0.4759579583477604,23,"DYRK1A(0.891), PTGS2(0.802), NOX4(0.770), MAPK1(0.759), HIF1A(0.730)",148,大枣,100-199
MOL000552,"5,2'-Dihydroxy-6,7,8-trimethoxyflavone",C=C1C(=O)[C@]23CC1CC[C@H]2[C@@]12COC3(O)[C@@H](O)[C@@H]1C(C)(C)C=CC2=O,0.7244572639465332,0.2085982818971388,0.0777038671076297,0.4988515973091125,0.0199865996837615,0.435270681977272,0.2696752101182937,0.8799351751804352,0.0047319318691734,0.5801136940717697,0.143785947933793,0.7297481596469879,0.1106760548427701,0.208748915232718,0.0261807707138359,0.4514828845858574,0.587052047252655,0.4357711672782898,0.8409469425678253,0.0502110067754983,0.0366437826305627,0.0012355002763797,0.5163928419351578,0.3407913184710196,0.8799351751804352,7,4,0.716291914407803,0.4704364815859158,23,"HIF1A(0.880), PTGS2(0.841), KEAP1(0.730), ALOX15(0.724), NOX4(0.587)",159,黄芩,100-199
MOL004328,naringenin,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,0.8150126039981842,0.2082598131091799,0.0343694494440569,0.2987789511680603,0.0028300054411829,0.8687033951282501,0.2344092056155204,0.8412938714027405,0.0156964653433533,0.0848321355879306,0.3007899401709437,0.3805935429409146,0.0449988976615713,0.1519028662587516,0.0057838456123135,0.7038925886154175,0.7570813298225403,0.6613771617412567,0.8108064532279968,0.0081335918512195,0.0060312419664114,0.0007073180277075,0.0852302722632885,0.3183267367999475,0.8687033951282501,7,6,0.6753903183501018,0.466658709456081,23,"DYRK1A(0.869), HIF1A(0.841), ALOX15(0.815), PTGS2(0.811), NOX4(0.757)",166,甘草,100-199
MOL004907,Glyzaglabrin,O=c1c(-c2ccc3c(c2O)OCO3)coc2cc(O)ccc12,0.773529589176178,0.2294898836953507,0.0319119028530394,0.2406982108950615,0.00232976229249,0.9036480188369752,0.1777511164546013,0.7202447354793549,0.0189028681488707,0.0467885360121727,0.2815967085771262,0.3223232872551307,0.0332149625810416,0.1441461965296184,0.0040269357123179,0.7538172006607056,0.6506782174110413,0.6735228002071381,0.7896314561367035,0.0071983549278229,0.0045335907489061,0.0004882131161139,0.0501994006335735,0.2982900847104928,0.9036480188369752,7,5,0.6831246787138054,0.4603304226786379,23,"DYRK1A(0.904), PTGS2(0.790), ALOX15(0.774), MAPK1(0.754), HIF1A(0.720)",179,甘草,100-199
MOL001918,paeoniflorgenone,CC(C)C1=CC2=CC[C@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@@H]2C[C@@H]1O,0.8982005417346954,0.1941423509349533,0.1298647346484358,0.5493855774402618,0.0196563305871677,0.4320084005594253,0.3043570183217525,0.880620002746582,0.0024960960727185,0.4621377140283584,0.1968983933329582,0.4770197160542011,0.2139929737750208,0.2460820938867982,0.0749074677587486,0.2553776726126671,0.6261329501867294,0.3305433429777622,0.8652247488498688,0.1004517488181591,0.0805395152419805,0.0005624484183499,0.5246019959449768,0.3419653841275031,0.8982005417346954,6,3,0.7259457110888332,0.4521599879694118,23,"ALOX15(0.898), HIF1A(0.881), PTGS2(0.865), NOX4(0.626), CTSB(0.549)",189,白芍,100-199
MOL005314,Celabenzine,O=C(c1ccccc1)N1CCCCN[C@H](c2ccccc2)C/C(O)=N/CCC1,0.5332966148853302,0.3238148968666792,0.2739260835787718,0.7221962511539459,0.1190710523951565,0.7762582302093506,0.4409764185547828,0.6067799180746078,0.0410345001146197,0.755008190870285,0.6765123605728149,0.3671435368014499,0.2622734849574044,0.3075791839510202,0.1515756051521748,0.452069416642189,0.4117612913250923,0.5859589576721191,0.4436686933040619,0.1680824477225542,0.2278080922551453,0.0110502433381043,0.3513239473104477,0.3917030181612221,0.7762582302093506,7,3,0.7808418179055548,0.4450703245215754,23,"DYRK1A(0.776), IL1B(0.755), CTSB(0.722), KDM6B(0.677), HIF1A(0.607)",199,人参,100-199
MOL005321,Frutinone A,O=c1oc2ccccc2c2oc3ccccc3c(=O)c12,0.7715632915496826,0.1794409602880478,0.0401435477839982,0.4378906488418579,0.0023739426995996,0.8763720095157623,0.2790534347295761,0.8745844662189484,0.0056893766086432,0.0603812090121209,0.1171623291447758,0.4169273385778069,0.0597876315855501,0.1655498003019602,0.0076050268671679,0.7155249118804932,0.6861395835876465,0.6946659684181213,0.8096497058868408,0.0046623783418908,0.0074624194239731,8.39687418192625e-05,0.0709280930459499,0.3166800888283579,0.8763720095157623,7,5,0.6720734077381505,0.4442379989260567,23,"DYRK1A(0.876), HIF1A(0.875), PTGS2(0.810), ALOX15(0.772), MAPK1(0.716)",203,人参,200-299
MOL004884,Licoisoflavone B,CC1(C)C=Cc2c(ccc(-c3coc4cc(O)cc(O)c4c3=O)c2O)O1,0.7690815627574921,0.233141454460565,0.0393207851666375,0.3261741548776626,0.0051990790088893,0.7552482485771179,0.2504817843437195,0.8552249073982239,0.0132032471883576,0.1357073001563549,0.3157273149117827,0.4290615245699882,0.0531470908899791,0.1527907198760658,0.0087587927118875,0.6664153635501862,0.7132661640644073,0.6336569488048553,0.7942609786987305,0.0106627168133854,0.0077814052347093,0.0010092002194141,0.1255705431103706,0.3171691864082949,0.8552249073982239,7,5,0.6953671031004123,0.4440906421834,23,"HIF1A(0.855), PTGS2(0.794), ALOX15(0.769), DYRK1A(0.755), NOX4(0.713)",204,甘草,200-299
MOL001689,acacetin,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,0.7096140086650848,0.1889468319523075,0.0213437208729985,0.1636529117822647,0.0015047255353781,0.9024345874786376,0.1373468749225139,0.7704818546772003,0.0021406144151114,0.0296241883188486,0.0825083595700562,0.3415720303310081,0.0299248010448707,0.1287330255140659,0.0027990480275548,0.6604625135660172,0.5515404343605042,0.7312455177307129,0.7434493899345398,0.0023052603937685,0.0031624904368072,5.408343076851452e-05,0.0421564690768718,0.2716088583494735,0.9024345874786376,7,5,0.6859714793319411,0.4420612566997746,23,"DYRK1A(0.902), HIF1A(0.770), PTGS2(0.743), PDE4B(0.731), ALOX15(0.710)",206,黄芩,200-299
MOL002908,"5,8,2'-Trihydroxy-7-methoxyflavone",COc1cc(O)c2c(=O)cc(-c3ccccc3O)oc2c1O,0.7738280892372131,0.1888098310155328,0.0185189038154476,0.1675187945365905,0.0014358774996026,0.8992821574211121,0.1394563466310501,0.766527384519577,0.0059133223694516,0.0314579778350889,0.1241674050688743,0.3493921463377774,0.0274316309937603,0.1230478781981219,0.0024232909599959,0.6786127090454102,0.6669947803020477,0.7402772605419159,0.7897041440010071,0.0033795511117205,0.0029416840989142,0.000163316299222,0.0504535287618637,0.2848581743739695,0.8992821574211121,7,5,0.6738703049048416,0.4406752875884933,23,"DYRK1A(0.899), PTGS2(0.790), ALOX15(0.774), HIF1A(0.767), PDE4B(0.740)",210,黄芩,200-299
MOL004644,Sainfuran,COc1ccc(-c2cc3cc(O)c(OC)cc3o2)c(O)c1,0.8257248401641846,0.1930398405702362,0.0224012339979253,0.1442239060997963,0.0020358589541444,0.8704426288604736,0.1133887190371751,0.7773463726043701,0.0033931819998542,0.0385124703752808,0.0556562808342278,0.3640808231430128,0.0361938971776112,0.1357297994036344,0.0035238189575466,0.554765447974205,0.7098565101623535,0.7131326198577881,0.8386151790618896,0.0051720542833209,0.0053551669698208,0.000147957696754,0.0811175517737865,0.2823415721721475,0.8704426288604736,7,6,0.6723785458753022,0.4399075646392276,23,"DYRK1A(0.870), PTGS2(0.839), ALOX15(0.826), HIF1A(0.777), PDE4B(0.713)",212,柴胡,200-299
MOL002928,oroxylin a,COc1c(O)cc2oc(-c3ccccc3)cc(=O)c2c1O,0.8019689321517944,0.1978656622445669,0.0240763867954569,0.2223855033516883,0.0019852651495995,0.8862585723400116,0.124765858054161,0.8157520294189453,0.0024422728747595,0.0359480214538052,0.1793554695323109,0.3585154684842564,0.0340974277831946,0.129216543815346,0.003344797120917,0.6077327728271484,0.6195216178894043,0.737544596195221,0.7896497845649719,0.0031085378723219,0.0035201339924242,5.670405880664475e-05,0.0463835187256336,0.2880650381172498,0.8862585723400116,7,5,0.6774455563294565,0.4351522274140463,23,"DYRK1A(0.886), HIF1A(0.816), ALOX15(0.802), PTGS2(0.790), PDE4B(0.738)",220,黄芩,200-299
MOL000173,wogonin,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,0.7968405187129974,0.1966806571463166,0.0237728397274992,0.2245572209358215,0.0019017318270577,0.8870026767253876,0.1234295889735221,0.8114168345928192,0.0023131078705773,0.0355571805266663,0.1686756373383104,0.3564297528355382,0.0336848677316652,0.1289762117612554,0.0032883424009924,0.6096886992454529,0.6080411076545715,0.7429830431938171,0.7891164124011993,0.0029877792112529,0.0034200400405097,5.2300055358500686e-05,0.0451348349452018,0.2867804950371213,0.8870026767253876,7,5,0.677900047014534,0.4351320772943869,23,"DYRK1A(0.887), HIF1A(0.811), ALOX15(0.797), PTGS2(0.789), PDE4B(0.743)",221,黄芩,200-299
