"human_symbol","kegg_gene_id","kegg_description"
"IRF7","mmu:54123","Irf7; interferon regulatory factor 7 isoform 1"
"IRF9","mmu:16391","Irf9, Irf-9, Isgf3g, p48; interferon regulatory factor 9 isoform 3"
"KDM6B","mmu:216850","Kdm6b, 1700064E03Rik, Jmjd3; lysine-specific demethylase 6B"
"KEAP1","mmu:50868","Keap1, INRF2, mKIAA0132; kelch-like ECH-associated protein 1"
"KLF6","mmu:23849","Klf6, BCD1, CPBP, Copeb, FM2, FM6, Ierepo1, Ierepo3, Zf9; Krueppel-like factor 6"
"LACTB","mmu:80907","Lactb, LACT-1, Lact1, Mrpl56; serine beta-lactamase-like protein LACTB, mitochondrial isoform 1 precursor"
"LCN2","mmu:16819","Lcn2, 24p3, NRL, Sip24; neutrophil gelatinase-associated lipocalin precursor"
"LGMN","mmu:19141","Lgmn, AEP, Prsc1; legumain preproprotein"
"LIFR","mmu:16880","Lifr, A230075M04Rik, LIF; leukemia inhibitory factor receptor isoform 1 precursor"
"LOX","mmu:11689","Alox5, 5-LO, 5-LOX, 5LO, 5LX, F730011J02; polyunsaturated fatty acid 5-lipoxygenase"
"LPCAT3","mmu:14792","Lpcat3, C3f, Grcc3f, Lpcat, Lpeat, Lplat5, Lpsat, Mboat5, Moact5, Oact5, PTG; lysophospholipid acyltransferase 5"
"MAP3K14","mmu:53859","Map3k14, Nik, aly; mitogen-activated protein kinase kinase kinase 14"
"MAPK1","mmu:26413","Mapk1, 9030612K14Rik, ERK, Erk2, MAPK2, PRKM2, Prkm1, p41mapk, p42mapk; mitogen-activated protein kinase 1"
"MAPK14","mmu:26416","Mapk14, CSBP2, Crk1, Csbp1, Mxi2, PRKM14, PRKM15, p38, p38-alpha, p38MAPK, p38a, p38alpha; mitogen-activated protein kinase 14 isoform 1"
"MCU","mmu:215999","Mcu, 2010012O16Rik, C10orf42, Ccdc109a, D130073L02Rik, Gm64; calcium uniporter protein, mitochondrial precursor"
"MEN1","mmu:17283","Men1; menin isoform b"
"MPO","mmu:17523","Mpo, mKIAA4033; myeloperoxidase precursor"
"NLRP3","mmu:216799","Nlrp3, AGTAVPRL, AII/AVP, Cias1, FCAS, FCU, MWS, Mmig1, NALP3, Pypaf1; NACHT, LRR and PYD domains-containing protein 3"
"NOX4","mmu:50490","Nox4; NADPH oxidase 4 isoform 1"
"NR1D1","mmu:217166","Nr1d1, A530070C09Rik; nuclear receptor subfamily 1 group D member 1"
"NR2F2","mmu:11819","Nr2f2, 2700033K02Rik, 9430015G03Rik, ARP-1, Aporp1, COUP-TF2, COUP-TFII, COUPTFB, EAR3, SVP40, Tcfcoup2; COUP transcription factor 2 isoform 1"
"NUAK2","mmu:74137","Nuak2, 1200013B22Rik, Omphk2, Snark, mKIAA0537; NUAK family SNF1-like kinase 2 isoform A"
"PADI4","mmu:18602","Padi4, Pad4, Pdi4; protein-arginine deiminase type-4"
"PDE4B","mmu:18578","Pde4b, Dpde4, dunce; cAMP-specific 3',5'-cyclic phosphodiesterase 4B isoform 2"
"PPP2R2B","mmu:72930","Ppp2r2b, 2900026H06Rik, 6330404L05Rik, E130009M08Rik, PP2A-PR55B, PR55-BETA, SCA12; serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform isoform 1"
"PRKD1","mmu:18760","Prkd1, PKD, PKD1, Pkcm, Prkcm, nPKC-D1, nPKC-mu; serine/threonine-protein kinase D1 isoform 1"
"PTBP1","mmu:19205","Ptbp1, HNRPI, PTB-1, PTB2, PTB3, PTB4, Ptb, pPTB; polypyrimidine tract-binding protein 1 isoform 1"
"PTGS2","mmu:19225","Ptgs2, COX2, Cox-2, PES-2, PGHS-2, PHS II, PHS-2, Pghs2, TIS10, gripghs; prostaglandin G/H synthase 2 precursor"
"RBM3","mmu:100043257","Rbm3-ps; RNA-binding protein 3-like"
