"pathway_code","n_genes","gene_list"
"04930",3,"MAPK1;SOCS1;SOCS2"
"04932",3,"COX7A1;IL1B;MAPK14"
"04933",5,"EDN1;IL1B;MAPK1;MAPK14;NOX4"
"04934",5,"E2F1;E2F3;MAPK1;MEN1;WNT5A"
"04935",4,"MAPK1;MAPK14;SOCS1;SOCS2"
"04936",5,"IL1B;MAP3K14;MAPK14;NOX4;TLR4"
"04940",3,"ICA1;IFNG;IL1B"
"04960",1,"MAPK1"
"04974",2,"DPP4;SLC1A5"
"04977",1,"ABCC1"
"04978",1,"HMOX1"
"04981",1,"ABCC1"
"05010",8,"COX7A1;IL1B;MAPK1;MCU;NOX4;PTGS2;SNCA;WNT5A"
"05012",5,"COX7A1;KEAP1;MCU;SNCA;SOD1"
"05014",4,"COX7A1;MAPK14;MCU;SOD1"
"05016",2,"COX7A1;SOD1"
"05017",1,"MCU"
"05020",6,"COX7A1;IL1B;MAPK1;MAPK14;MCU;SOD1"
"05022",10,"COX7A1;IL1B;MAPK1;MAPK14;MCU;NOX4;PTGS2;SNCA;SOD1;WNT5A"
"05032",1,"PDE4B"
"05034",1,"MAPK1"
"05132",5,"IL1B;MAPK1;MAPK14;NLRP3;TLR4"
"05133",6,"IL1B;IRF1;MAPK1;MAPK14;NLRP3;TLR4"
"05134",2,"IL1B;TLR4"
"05135",5,"IL1B;MAPK1;MAPK14;NLRP3;TLR4"
"05140",6,"IFNG;IL1B;MAPK1;MAPK14;PTGS2;TLR4"
"05142",6,"IFNG;IL1B;MAPK1;MAPK14;PPP2R2B;TLR4"
"05143",2,"IFNG;IL1B"
"05144",3,"IFNG;IL1B;TLR4"
"05145",6,"IFNG;LOX;MAPK1;MAPK14;SOCS1;TLR4"
"05146",3,"IFNG;IL1B;TLR4"
"05152",7,"CD74;IFNG;IL1B;IL6;MAPK1;MAPK14;TLR4"
"05160",8,"CXCL10;E2F1;E2F3;IFNG;IRF7;IRF9;MAPK1;PPP2R2B"
"05161",6,"E2F1;E2F3;IRF7;MAPK1;MAPK14;TLR4"
"05162",4,"IL1B;IRF7;IRF9;TLR4"
"05163",6,"E2F1;E2F3;IL1B;MAPK1;MAPK14;PTGS2"
"05164",8,"CXCL10;IFNG;IL1B;IRF7;IRF9;MAPK1;NLRP3;TLR4"
"05165",8,"BAP1;E2F1;IRF1;IRF9;MAPK1;PPP2R2B;PTGS2;WNT5A"
"05166",5,"E2F1;E2F3;FOSL1;MAP3K14;MAPK1"
"05167",9,"ATG3;E2F1;E2F3;HIF1A;IRF7;IRF9;MAPK1;MAPK14;PTGS2"
"05168",5,"CD74;IFNG;IL1B;IRF7;IRF9"
"05169",8,"CXCL10;E2F1;E2F3;IRF7;IRF9;MAP3K14;MAPK14;RUNX3"
"05170",3,"MAPK1;MAPK14;TLR4"
"05171",7,"CXCL10;IL1B;IRF9;MAPK1;MAPK14;NLRP3;TLR4"
"05200",10,"E2F1;E2F3;EDN1;HIF1A;HMOX1;IFNG;KEAP1;MAPK1;PTGS2;WNT5A"
"05202",5,"BCL6;IL6;MEN1;MPO;ZEB1"
"05203",3,"IRF7;IRF9;MAPK1"
"05204",1,"PTGS2"
"05205",5,"HIF1A;MAPK1;MAPK14;TLR4;WNT5A"
"05206",9,"ABCC1;E2F1;E2F3;HMOX1;MAPK1;PTGS2;SOCS1;SP1;ZEB1"
"05207",3,"BCL6;E2F1;MAPK1"
