cell_type,total,Scissor+_n,Scissor+_fold,Scissor+_p,Scissor-_n,Scissor-_fold,Scissor-_p
Immune,1081,22,2.0351526364477337,0.0010987350830498571,5,0.46253469010175763,0.9859239828420143
OPC,1280,20,1.5625,0.030228655259628937,51,3.9843750000000004,1.153274612455506e-18
Neuron,1034,14,1.3539651837524178,0.15275720306967597,28,2.7079303675048356,1.1462502358206772e-06
Endothelial,6669,69,1.03463787674314,0.38152414489012015,48,0.7197480881691408,0.9993450597217978
Pericyte,1144,10,0.8741258741258742,0.716153419174832,8,0.6993006993006994,0.8936532656085674
Microglia,2449,15,0.6124948958758677,0.9903476693220412,8,0.32666394446712943,0.9999905815272748
Astrocyte,791,0,0.0,1.0,1,0.12642225031605564,0.99971640232493
Oligodendrocyte,552,0,0.0,1.0,1,0.1811594202898551,0.9964922775837639
