cell_type,mean_score,n_cells,Sham_mean,MCAO_mean,delta
Astrocyte,0.033269062709405134,3314,-0.07108215319538796,0.08582344095546701,0.15690559415085498
Endothelial,0.1979804187892916,25946,0.11870298056725365,0.2932263483009205,0.17452336773366683
Immune,1.0547096556945836,4148,1.4215658020836937,0.9763582844646096,-0.44520751761908406
Microglia,0.36092936960197736,9390,0.3119368177620204,0.4919211924792334,0.17998437471721296
Neuron,0.528247321497068,3958,0.39306820230796974,0.5764263084595979,0.18335810615162812
OPC,0.48061774229525484,4876,0.17628392045118998,0.5743342732708413,0.3980503528196513
Oligodendrocyte,0.12246885285296344,2272,0.04690805854230711,0.15400358235628786,0.10709552381398074
Pericyte,0.28157539877841375,4529,0.1417623758950118,0.35489370562874706,0.21313132973373525
