"pathway_name","source","target","prob","n_interactions"
"Glutamate","Glutamatergic 4","Glutamatergic 4",452.832777588482,352
"Glutamate","Glutamatergic 3","GABAergic 2",451.362176465087,368
"Glutamate","Glutamatergic 7","GABAergic 3",450.919171616935,368
"Glutamate","Glutamatergic 5","Glutamatergic 2",450.467970104057,360
"Glutamate","Glutamatergic 3","Glutamatergic 7",450.045927504948,360
"Glutamate","Glutamatergic 6","Glutamatergic 5",449.218056041552,368
"Glutamate","Glutamatergic 6","Glutamatergic 9",449.026258307393,360
"Glutamate","Glutamatergic 9","Glutamatergic 1",448.299068818238,385
"Glutamate","Glutamatergic 9","GABAergic 6",448.196726321058,385
"Glutamate","Glutamatergic 8","Glutamatergic 2",446.935280234056,360
"Glutamate","Glutamatergic 3","Glutamatergic 4",446.831427617862,352
"Glutamate","Neuro 1","GABAergic 1",446.468014245551,369
"Glutamate","Neuro 1","Glutamatergic 10",445.136901167537,369
"Glutamate","GABAergic 2","GABAergic 1",444.011773104814,368
"Glutamate","Glutamatergic 6","Neuro 1",443.847917866737,376
"Glutamate","Glutamatergic 4","Glutamatergic 5",443.493938645146,360
"Glutamate","Glutamatergic 4","Glutamatergic 9",443.382043525858,360
"Glutamate","GABAergic 2","Glutamatergic 10",442.725792407,368
"Glutamate","Glutamatergic 7","GABAergic 2",440.730807658966,360
"Glutamate","Glutamatergic 7","Glutamatergic 7",439.536683141415,360
"Glutamate","Neuro 1","Glutamatergic 3",439.39773758678,369
"Glutamate","Glutamatergic 6","Glutamatergic 1",438.360719983386,384
"Glutamate","Glutamatergic 6","GABAergic 6",438.298471216186,384
"Glutamate","Glutamatergic 4","Neuro 1",438.271803064808,376
"Glutamate","Glutamatergic 5","GABAergic 3",438.235261864153,368
"Glutamate","Glutamatergic 3","Glutamatergic 5",437.713485277159,368
"Glutamate","Glutamatergic 3","Glutamatergic 9",437.525825526883,360
"Glutamate","GABAergic 2","Glutamatergic 3",437.008633851425,368
"Glutamate","Glutamatergic 7","Glutamatergic 4",436.422504805822,352
"Glutamate","Glutamatergic 10","GABAergic 4",435.82591912688,376
"Glutamate","Glutamatergic 2","GABAergic 4",435.63957082397,376
"Glutamate","Glutamatergic 8","GABAergic 3",434.70452429596,360
"Glutamate","Glutamatergic 4","Glutamatergic 1",432.845616949948,384
"Glutamate","Glutamatergic 4","GABAergic 6",432.705108426702,376
"Glutamate","Glutamatergic 3","Neuro 1",432.479653414406,376
"Glutamate","Glutamatergic 1","GABAergic 4",431.580018500598,369
"Glutamate","Glutamatergic 10","Glutamatergic 6",429.187319793497,384
"Glutamate","Glutamatergic 2","Glutamatergic 6",429.020609111949,384
"Glutamate","Glutamatergic 5","GABAergic 2",428.346948015022,360
"Glutamate","Glutamatergic 7","Glutamatergic 5",427.417490124181,360
"Glutamate","Glutamatergic 7","Glutamatergic 9",427.305352865787,360
"Glutamate","Glutamatergic 3","Glutamatergic 1",427.134207924146,384
"Glutamate","Glutamatergic 5","Glutamatergic 7",427.109550813735,352
"Glutamate","Glutamatergic 3","GABAergic 6",427.073553361225,384
"Glutamate","Glutamatergic 9","GABAergic 4",425.118105914607,385
"Glutamate","Glutamatergic 1","Glutamatergic 6",425.075824440648,385
"Glutamate","Glutamatergic 8","GABAergic 2",424.978542271837,360
"Glutamate","Glutamatergic 5","Glutamatergic 4",424.164591762076,352
"Glutamate","Glutamatergic 8","Glutamatergic 7",423.753604580729,352
"Glutamate","Glutamatergic 7","Neuro 1",422.38194104305,376
"Glutamate","Glutamatergic 8","Glutamatergic 4",420.830925054615,352
"Glutamate","Neuro 1","Glutamatergic 8",420.540893283338,377
"Glutamate","Glutamatergic 9","Glutamatergic 6",418.595211744769,385
"Glutamate","GABAergic 2","Glutamatergic 8",418.223460523995,376
"Glutamate","Glutamatergic 7","Glutamatergic 1",417.071688341627,376
"Glutamate","Glutamatergic 7","GABAergic 6",417.020547963304,376
"Glutamate","Glutamatergic 6","GABAergic 4",415.62557844982,376
"Glutamate","Glutamatergic 5","Glutamatergic 5",415.405352160924,360
"Glutamate","Glutamatergic 5","Glutamatergic 9",415.289694813447,360
"Glutamate","Glutamatergic 8","Glutamatergic 5",412.137821949197,360
"Glutamate","Neuro 1","Glutamatergic 2",412.099657155161,377
"Glutamate","Glutamatergic 8","Glutamatergic 9",412.020550120087,360
"Glutamate","Glutamatergic 5","Neuro 1",410.507110377376,376
"Glutamate","Glutamatergic 4","GABAergic 4",410.405810644521,376
"Glutamate","GABAergic 2","Glutamatergic 2",409.921966108648,384
"Glutamate","Glutamatergic 6","Glutamatergic 6",409.309773963821,384
"Glutamate","Glutamatergic 8","Neuro 1",407.27651563587,376
"Glutamate","Glutamatergic 5","Glutamatergic 1",405.352922336619,376
"Glutamate","Glutamatergic 5","GABAergic 6",405.223546166538,368
"Glutamate","Glutamatergic 3","GABAergic 4",404.979899476991,376
"Glutamate","Glutamatergic 4","Glutamatergic 6",404.160166635661,384
"Glutamate","Glutamatergic 10","GABAergic 5",403.227167768971,352
"Glutamate","Glutamatergic 2","GABAergic 5",403.070540877036,352
