rank,MOL_ID,molecule_name,SMILES,composite_score_adjusted,composite_score,NFE2L2,HMOX1,GPX4,TFRC,SLC7A11,ACSL4,FTH1,PTGS2,KEAP1
382,MOL000315,hancinone,C=CCC1=C[C@@]2(OC)C(=CC1=O)O[C@H](c1ccc3c(c1)OCO3)[C@H]2C,0.5192492154667676,0.5192492154667676,0.7445374131202698,0.587159276008606,0.5446575880050659,0.2723957896232605,0.31216928362846375,0.26068657636642456,0.2740369439125061,0.7595242261886597,0.721656084060669
383,MOL008469,Rhynchophylline,CC[C@@H]1CN2CC[C@@]3(C(=O)Nc4ccccc43)[C@@H]2C[C@@H]1/C(=C/OC)C(=O)OC,0.5190862214575104,0.5190862214575104,0.7481170892715454,0.5080567598342896,0.4443250596523285,0.2774588465690613,0.28794658184051514,0.25124216079711914,0.2656693458557129,0.7596744298934937,0.7252323031425476
384,MOL010828,cynaropicrin,C=C(CO)C(=O)O[C@H]1CC(=C)[C@@H]2C[C@H](O)C(=C)[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]21,0.518963083902048,0.518963083902048,0.7458618879318237,0.5480702519416809,0.5005971193313599,0.2634001076221466,0.2936244010925293,0.26025235652923584,0.27515071630477905,0.759954035282135,0.7183132171630859
385,MOL011290,Lucidumol A,C[C@H](CC[C@H](O)C(C)(C)O)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O,0.5185272468519362,0.5185272468519362,0.7475235462188721,0.5588285326957703,0.4912565052509308,0.269087553024292,0.32106727361679077,0.2551281750202179,0.26838693022727966,0.7599499225616455,0.7236016988754272
386,MOL011125,(+)-Ganoderic acid Mf,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1c(O)cccc1C3=O,0.518200046205625,0.518200046205625,0.7499628663063049,0.5995330214500427,0.5393267869949341,0.27853119373321533,0.31309881806373596,0.26651862263679504,0.28151917457580566,0.7600656747817993,0.7311243414878845
387,MOL003741,anhydrobelachinal,CC(C)=CCC/C(C)=C/C=C/C(C)=C/[C@@H]1C[C@@]23[C@H](OCCC[C@@H]2/C(=C(/C)C=O)CC[C@]3(C)O)O1,0.518167572748856,0.518167572748856,0.7497104406356812,0.543868362903595,0.4895581305027008,0.27072763442993164,0.28868281841278076,0.2481168955564499,0.2784550189971924,0.7603312134742737,0.731735348701477
388,MOL013931,Holothurinoside K1,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,0.5178569532815672,0.5178569532815672,0.7482540607452393,0.5550246238708496,0.4867090582847595,0.2733551263809204,0.2904466986656189,0.2506672739982605,0.27832329273223877,0.7599000930786133,0.7210611701011658
389,MOL011268,Lucialdehyde C,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)C1CC3=O)C(C)C=O,0.5171965666125501,0.5171965666125501,0.7516749501228333,0.5622894763946533,0.4956575036048889,0.27977949380874634,0.3131065368652344,0.2622498869895935,0.28355634212493896,0.7607265114784241,0.7215920090675354
390,MOL008127,Ermanin,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2OC)cc1,0.5167976764008736,0.5167976764008736,0.7501816749572754,0.5843161344528198,0.5344324111938477,0.2715933918952942,0.3090450167655945,0.2613500952720642,0.2820998430252075,0.759240448474884,0.7313004732131958
391,MOL011929,vitetrifolin c,CC(=O)O[C@H]1C=C2C(C)(C)CCC[C@]2(C)[C@@](O)(CCc2ccoc2)[C@@H]1C,0.5162538066574742,0.5162538066574742,0.7496304512023926,0.5485740900039673,0.4892522692680359,0.2745094895362854,0.31290698051452637,0.2566351294517517,0.28595632314682007,0.7593931555747986,0.7257295846939087
