MOL_ID,molecule_name,SMILES,ALOX15,ALOX15_uncertainty,BCL6,BCL6_uncertainty,CD74,CD74_uncertainty,CTSB,CTSB_uncertainty,CXCL10,CXCL10_uncertainty,DYRK1A,DYRK1A_uncertainty,EPHA4,EPHA4_uncertainty,HIF1A,HIF1A_uncertainty,HMOX1,HMOX1_uncertainty,IL1B,IL1B_uncertainty,KDM6B,KDM6B_uncertainty,KEAP1,KEAP1_uncertainty,LCN2,LCN2_uncertainty,LGMN,LGMN_uncertainty,LPCAT3,LPCAT3_uncertainty,MAPK1,MAPK1_uncertainty,NOX4,NOX4_uncertainty,PDE4B,PDE4B_uncertainty,PTGS2,PTGS2_uncertainty,SAT1,SAT1_uncertainty,SP1,SP1_uncertainty,TFRC,TFRC_uncertainty,TLR4,TLR4_uncertainty,mean_uncertainty,max_uncertainty,uncertainty_penalty,composite_score,avg_score,max_score,n_hits,n_targets,top_targets,rank
MOL006812,Phyllanthin,COC[C@H](Cc1ccc(OC)c(OC)c1)[C@H](COC)Cc1ccc(OC)c(OC)c1,0.6296993494033813,0.06872612237930298,0.6198698282241821,0.06754978001117706,0.4969298541545868,0.06791239231824875,0.6718308925628662,0.04282207787036896,0.48052582144737244,0.08690473437309265,0.6605178117752075,0.06318329274654388,0.5825973749160767,0.0791759267449379,0.6241763830184937,0.06853141635656357,0.517865777015686,0.07868944853544235,0.6658880710601807,0.04979035630822182,0.5022221803665161,0.08610343933105469,0.6073221564292908,0.0516500324010849,0.513325572013855,0.07617305219173431,0.5061302185058594,0.08528093248605728,0.2860417664051056,0.11272182315587997,0.554036557674408,0.06817251443862915,0.6136468648910522,0.07475508749485016,0.7124045491218567,0.0491340234875679,0.7238771915435791,0.04290882125496864,0.27432817220687866,0.14626002311706543,0.6080459356307983,0.05644293874502182,0.292967289686203,0.11592499911785126,0.6834878325462341,0.046363260596990585,0.07326854020357132,0.14626002311706543,0.9407508403710657,0.7507656565296505,0.557727715243464,0.7238771915435791,18,23,"PTGS2(0.724), PDE4B(0.712), TLR4(0.683), CTSB(0.672), IL1B(0.666)",1
MOL012023,"7,8-didehydrocimigenol",C[C@@H]1C[C@H]2O[C@]3(O[C@@H]2C(C)(C)O)[C@H]1[C@@]1(C)CC[C@@]24C[C@@]25CC[C@H](O)C(C)(C)[C@@H]5CC=C4[C@]1(C)[C@H]3O,0.6326233148574829,0.06358236074447632,0.6248052716255188,0.057881467044353485,0.5029842257499695,0.06750817596912384,0.6691882014274597,0.05068583786487579,0.49488723278045654,0.09225773811340332,0.6850582361221313,0.058912113308906555,0.607965350151062,0.06741555780172348,0.6251301765441895,0.08135338127613068,0.5289287567138672,0.08298012614250183,0.6839014887809753,0.050027430057525635,0.5183879137039185,0.08117655664682388,0.6063194274902344,0.06716955453157425,0.5350234508514404,0.07838864624500275,0.5151742696762085,0.0866016075015068,0.30952683091163635,0.11862485110759735,0.6065328121185303,0.05898867920041084,0.636336088180542,0.06931132078170776,0.7155742645263672,0.0479695126414299,0.7179246544837952,0.05005114525556564,0.29109513759613037,0.15524524450302124,0.6266301870346069,0.05705995485186577,0.32401466369628906,0.12346716225147247,0.6798456907272339,0.0445297546684742,0.07439947873353958,0.15524524450302124,0.892482768784348,0.7330695246636766,0.5712112019891324,0.7179246544837952,19,23,"PTGS2(0.718), PDE4B(0.716), DYRK1A(0.685), IL1B(0.684), TLR4(0.680)",2
MOL002926,dihydrooroxylin A,COc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccccc1)O2,0.6298047304153442,0.0729474425315857,0.5340666770935059,0.07173347473144531,0.4532628357410431,0.07073305547237396,0.6501544117927551,0.056289054453372955,0.3935181796550751,0.09492628276348114,0.736339807510376,0.05026358366012573,0.5868558287620544,0.07607375085353851,0.6138938069343567,0.07440398633480072,0.5187002420425415,0.07617051899433136,0.6884862184524536,0.04782024770975113,0.453938752412796,0.07574532926082611,0.5561447143554688,0.06713031232357025,0.50152987241745,0.07340538501739502,0.4532487988471985,0.07915150374174118,0.29176074266433716,0.11000289767980576,0.6806792616844177,0.0519324354827404,0.6244750022888184,0.07324375212192535,0.687324047088623,0.050590548664331436,0.7091325521469116,0.050369955599308014,0.2758338749408722,0.14811915159225464,0.6034883260726929,0.06623031944036484,0.30468353629112244,0.12013394385576248,0.6694777607917786,0.04496695101261139,0.07401669025421143,0.14811915159225464,0.9088200508144338,0.7283652112094682,0.5485565208870432,0.736339807510376,16,23,"DYRK1A(0.736), PTGS2(0.709), IL1B(0.688), PDE4B(0.687), MAPK1(0.681)",3
MOL001586,"N-(2,5-dimethoxyphenyl)-4-methoxybenzamide",CC1=C([C@H](O)CCCCCCC(C)(C)O)C(=O)O[C@@H]1O,0.6390693783760071,0.05991177260875702,0.5955870747566223,0.06357681006193161,0.48749133944511414,0.07867748290300369,0.6644981503486633,0.04882526397705078,0.45819708704948425,0.07755646109580994,0.7147666215896606,0.06410138309001923,0.6122534275054932,0.06231577321887016,0.6426125168800354,0.06174261122941971,0.5314533710479736,0.08714286983013153,0.6914448738098145,0.04844631999731064,0.49435552954673767,0.07710869610309601,0.5843980312347412,0.059866249561309814,0.5218967199325562,0.07804110646247864,0.4957001507282257,0.08230173587799072,0.3056000769138336,0.11868153512477875,0.6505700349807739,0.06132245063781738,0.6421036720275879,0.06695300340652466,0.7043793201446533,0.058979183435440063,0.7120900750160217,0.04299292340874672,0.2830439805984497,0.15010589361190796,0.6122362017631531,0.049292247742414474,0.32026156783103943,0.1300947219133377,0.6814141273498535,0.045757703483104706,0.07277365773916245,0.15010589361190796,0.9618722555374313,0.7008765054115678,0.5671923186468042,0.7147666215896606,16,23,"DYRK1A(0.715), PTGS2(0.712), PDE4B(0.704), IL1B(0.691), TLR4(0.681)",4
MOL001040,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",CCC[C@@H](O)C[C@@H]1CCC[C@H](C[C@@H](O)CCC)N1C,0.6348975300788879,0.07287336885929108,0.6313408613204956,0.06970369070768356,0.505282998085022,0.06651277095079422,0.6719165444374084,0.04943228140473366,0.48961737751960754,0.08196060359477997,0.6627178192138672,0.07965600490570068,0.594573974609375,0.07226072251796722,0.6309946775436401,0.06954862922430038,0.525437593460083,0.08820024132728577,0.6795220375061035,0.044395409524440765,0.512693464756012,0.08873641490936279,0.6028023362159729,0.05689339339733124,0.5240505933761597,0.07548543810844421,0.5173113346099854,0.09227795898914337,0.292069673538208,0.10627812892198563,0.5821641683578491,0.07564088702201843,0.6337442398071289,0.06562604755163193,0.7211194038391113,0.04982747882604599,0.7121262550354004,0.054633766412734985,0.2879374921321869,0.1532256156206131,0.614763081073761,0.05008794367313385,0.31360042095184326,0.12416848540306091,0.6893699169158936,0.048767708241939545,0.07548665255308151,0.1532256156206131,0.8460825601449553,0.6997781997637483,0.5665240780166958,0.7211194038391113,19,23,"PDE4B(0.721), PTGS2(0.712), TLR4(0.689), IL1B(0.680), CTSB(0.672)",5
MOL005230,lathyrol,C=C1CC[C@H]2[C@@H](/C=C(/C)C(=O)[C@@]3(O)C[C@H](C)[C@H](O)[C@@H]3[C@H]1O)C2(C)C,0.6402987241744995,0.05879718065261841,0.5903905630111694,0.060954879969358444,0.4870547354221344,0.07749982178211212,0.6695573329925537,0.03561219573020935,0.4571562707424164,0.08449824899435043,0.7061018943786621,0.05771239846944809,0.6138709783554077,0.05992324650287628,0.6377927660942078,0.07420644909143448,0.5310840606689453,0.08074898272752762,0.6866837739944458,0.05282209813594818,0.48944932222366333,0.0856199711561203,0.5878116488456726,0.06992204487323761,0.523673951625824,0.07108954340219498,0.49605926871299744,0.08529400825500488,0.29876652359962463,0.11172154545783997,0.6403200626373291,0.05725136399269104,0.6362242698669434,0.07784770429134369,0.7052326798439026,0.048934727907180786,0.7161334753036499,0.04422317445278168,0.28183698654174805,0.15138208866119385,0.6182539463043213,0.05756169185042381,0.32161790132522583,0.13740000128746033,0.6811836957931519,0.043199390172958374,0.07322707772254944,0.15138208866119385,0.942520444950886,0.6909371117628933,0.5659371666286303,0.7161334753036499,16,23,"PTGS2(0.716), DYRK1A(0.706), PDE4B(0.705), IL1B(0.687), TLR4(0.681)",6
MOL005405,Cusparine,COc1cc(CCc2ccc3c(c2)OCO3)nc2ccccc12,0.6237360239028931,0.0735674723982811,0.5320219993591309,0.07000094652175903,0.447482168674469,0.07186852395534515,0.6506236791610718,0.04913207143545151,0.38968220353126526,0.08972683548927307,0.7315378189086914,0.058528073132038116,0.5958330035209656,0.06734214723110199,0.6191882491111755,0.07484589517116547,0.5171611309051514,0.07617317885160446,0.6883525848388672,0.042043037712574005,0.44705113768577576,0.07907228916883469,0.5513710975646973,0.06766235828399658,0.4896489381790161,0.07151012867689133,0.44468608498573303,0.07880248129367828,0.284333199262619,0.1098935678601265,0.6717861890792847,0.05886398255825043,0.6204186677932739,0.07022950053215027,0.698835015296936,0.05693817138671875,0.7122800946235657,0.05039486661553383,0.2750696837902069,0.15077489614486694,0.5934385061264038,0.07051019370555878,0.2975679636001587,0.1070629358291626,0.6727092862129211,0.05153658613562584,0.0737600103020668,0.15077489614486694,0.9197750638206135,0.6859443963507037,0.5458615098310553,0.7315378189086914,15,23,"DYRK1A(0.732), PTGS2(0.712), PDE4B(0.699), IL1B(0.688), TLR4(0.673)",7
MOL013192,Dihydrocubebin,OC[C@H](Cc1ccc2c(c1)OCO2)[C@H](CO)Cc1ccc2c(c1)OCO2,0.6353896260261536,0.07428743690252304,0.5600041747093201,0.05787746235728264,0.482298344373703,0.06599099934101105,0.6531893610954285,0.05195574834942818,0.4465632736682892,0.07591011375188828,0.7191121578216553,0.05831052362918854,0.6146581172943115,0.0763976126909256,0.6371080279350281,0.06921275705099106,0.5228222608566284,0.07853849232196808,0.6836733818054199,0.05207853764295578,0.4799778163433075,0.07787114381790161,0.5781086683273315,0.06241779029369354,0.5269145965576172,0.08046829700469971,0.48243945837020874,0.07929244637489319,0.3064716160297394,0.11792147159576416,0.6731994152069092,0.06260529905557632,0.6314684152603149,0.06503143906593323,0.6835711002349854,0.050867825746536255,0.7029297351837158,0.04846363887190819,0.29289722442626953,0.1655491143465042,0.6115030646324158,0.0519191175699234,0.3231508433818817,0.123883917927742,0.673405110836029,0.049418628215789795,0.07375086098909378,0.1655491143465042,0.920165553384678,0.6799454589819712,0.5617763387120288,0.7191121578216553,16,23,"DYRK1A(0.719), PTGS2(0.703), IL1B(0.684), PDE4B(0.684), TLR4(0.673)",8
MOL001851,3-Phenyl-4-azafluorene,CCCCCCCCC[C@H](O)[C@@H](C)NC(C)=O,0.632883608341217,0.0682120993733406,0.6071527004241943,0.0657953992486,0.477093368768692,0.07342266291379929,0.6697306632995605,0.04715699702501297,0.4587211310863495,0.08242074400186539,0.6869437098503113,0.05300137400627136,0.5882671475410461,0.0677933394908905,0.6120600700378418,0.08340217173099518,0.5212445259094238,0.07427360117435455,0.678156316280365,0.052792638540267944,0.4901975393295288,0.08737337589263916,0.5914703607559204,0.07168792933225632,0.5033583641052246,0.06475360691547394,0.4903970956802368,0.0890902578830719,0.291026771068573,0.10944215953350067,0.608385443687439,0.05886217951774597,0.6201455593109131,0.0798908993601799,0.7206929326057434,0.046316660940647125,0.712153971195221,0.05026327818632126,0.28386592864990234,0.14304323494434357,0.6134982705116272,0.061226047575473785,0.3059714734554291,0.12068332731723785,0.6818436980247498,0.04648154228925705,0.07379937171936035,0.14304323494434357,0.9180951319257005,0.6786626492170035,0.5584895934747613,0.7206929326057434,16,23,"PDE4B(0.721), PTGS2(0.712), DYRK1A(0.687), TLR4(0.682), IL1B(0.678)",9
MOL006277,Shinjudilactone,CC1=CC(=O)[C@@H](O)[C@]2(C)[C@H]3[C@@]4(O)C(=O)OC[C@@]35[C@@H](C[C@@H]12)OC(=O)C[C@H]5[C@H]4C,0.6493563652038574,0.07127159088850021,0.5954873561859131,0.05837829411029816,0.49081239104270935,0.07630480080842972,0.6688522100448608,0.04752761125564575,0.4595586955547333,0.08611161261796951,0.7053563594818115,0.060704734176397324,0.6091927289962769,0.07339240610599518,0.6386669874191284,0.07066791504621506,0.5275930166244507,0.08831896632909775,0.6881797909736633,0.053085312247276306,0.4959505796432495,0.07939367741346359,0.5984154343605042,0.06434440612792969,0.5317490100860596,0.08407332003116608,0.5002952218055725,0.0932462215423584,0.2908986806869507,0.10672610998153687,0.6302355527877808,0.05974584072828293,0.640474796295166,0.06692783534526825,0.7100503444671631,0.04548293724656105,0.7165330648422241,0.04623538255691528,0.2805955410003662,0.14942245185375214,0.6091822385787964,0.06291335821151733,0.31073763966560364,0.12335094809532166,0.6861732006072998,0.04346594214439392,0.07439529150724411,0.14942245185375214,0.8926614781776738,0.677350991509857,0.566710748102354,0.7165330648422241,17,23,"PTGS2(0.717), PDE4B(0.710), DYRK1A(0.705), IL1B(0.688), TLR4(0.686)",10
