"X8","X14","X5","X2","X6","X1","X16","X9","X10","X11","X3","X13","X15","X12","X4","X7","X0","Gene"
-0.0691830545011258,0.215954836824904,0.197667548937737,0.121775626162587,0.0745168990182818,0.0223730823654869,-0.00914419457562298,-0.129426366299569,-0.297665476641364,0.00188476223648061,-0.239217413113618,-0.359490119080895,0.0019941828900217,0.000164330569737116,-0.0717530541199949,0.0547378041302274,0.214482951869752,"ILMN_2165753"
-0.387037619305573,-0.00529478041640913,-0.389427158937855,-0.295862108235249,-0.404053862849342,0.639169974118671,0.498518078834541,-0.0611622873332447,-0.155189551753604,-0.348222000495072,-0.204524265464914,-0.225906377661514,-0.0637878801859843,-0.230735813981396,-0.26333851460477,-0.12830865697852,-0.0265483705456426,"ILMN_1783142"
-0.0376456374033466,0.0125681943639874,-0.121728145158587,-0.0526840383306945,-0.0461826205090056,0.1884357803085,0.0774617135167233,-0.0870685435344397,-0.0831196612070144,0.14530431284157,-0.0352817459907748,0.0740076237452467,-0.201262201230793,-0.0470609566843879,-0.176848897991941,-0.108793940936537,-0.0377294969075824,"ILMN_1697499"
-0.547797673329536,-0.0788045183467116,-0.689601529268332,-0.436533146537486,-0.600458275601205,0.95553418622396,0.545537925538728,0.0642885048487837,0.0324530946758683,-0.339366483417102,-0.13755642439914,-0.280742926715772,-0.0798061083068339,-0.184973356848632,-0.513214014173034,-0.30061231651894,0.0419524015409724,"ILMN_2402936"
-0.202256406923453,0.112165132341435,-0.0945508764027199,-0.216803235515527,-0.247092953513175,0.187509669257051,0.261304678565135,-0.2036679592596,-0.106957837114063,0.218105312154246,-0.0150078965299607,0.139677114305123,-0.0815742684874879,0.0070585730509386,0.00379675435116669,0.124588073072301,-0.0865201956235909,"ILMN_1715169"
-0.571786716180968,0.0380556017856907,-0.621797682759073,-0.240812492407121,-0.467980641711687,0.977298379945155,0.397890657451961,0.181188843747363,-0.0341069293028495,-0.375364816845316,-0.325191051522012,-0.365507630976708,-0.101953731673687,-0.279129088416676,-0.652702216588193,-0.445771834672112,0.0645312271850427,"ILMN_1759954"
0.325415749892312,-0.345792713883654,0.0739601379109811,-0.35242865927993,-0.0126100504506507,-0.336334342936827,0.407505973314106,-0.329067979113024,-0.0459302030091238,0.0846360603365222,0.210767978133843,0.115084403169183,0.225232372482414,0.611850287559163,0.691348010334287,0.315900768317182,0.180442896654714,"ILMN_1776519"
-0.502208186753198,-0.110041211888358,-0.744298441217377,-0.461595504347221,-0.593886911840769,0.949339625381189,0.535975205235809,0.0617610445150972,0.0718486239559241,-0.302582340386373,-0.0757438651313588,-0.247296766171094,-0.114255981451938,-0.214912656855881,-0.512787106071971,-0.324807803823337,0.0227229431602596,"ILMN_2112580"
-0.484860595228186,-0.00714584193830277,-0.521309630375345,-0.292912196310046,-0.46865288301689,0.800247673086455,0.500049478750111,0.0217002899376913,-0.103259436444755,-0.370991739927133,-0.228648072261797,-0.277229971060287,-0.123085159865999,-0.278847380834221,-0.431669519032085,-0.250678526761309,-0.0749050341299685,"ILMN_2191331"
-0.675363955156635,0.046088358184061,-0.586455941769024,-0.197618864685387,-0.535715352810753,0.908923100984995,0.349898989588822,0.256094113998914,0.0412796205087428,-0.305892316694844,-0.298274757832077,-0.281528699197714,-0.201728090624676,-0.35359070150667,-0.632036691322019,-0.352486541247005,-0.0945444621337063,"ILMN_2407235"
-0.518404572183471,-0.17602743566312,-0.746354242748834,-0.534205152146916,-0.654411118873357,0.93369384722675,0.59895348783691,0.0500322405075704,0.0952069782463723,-0.318038820141748,-0.0503130676388741,-0.236763533283695,0.0282531276384048,-0.0543151366546741,-0.430406578976524,-0.257653314191893,0.0657961587537403,"ILMN_2134538"
-0.556825929802063,0.0981524227595703,-0.512284643337178,-0.106257826918604,-0.353502163874906,0.942758098392417,0.370145657761302,0.157439188947934,-0.16247861668849,-0.438799359796408,-0.44240913618701,-0.387858886961151,-0.18783200779802,-0.34079550703153,-0.68425393068364,-0.470648853127234,0.00402302785042744,"ILMN_2181241"
