"Stroke","Module"
0.61916452832632,"ME8"
5.9319143806484e-05,"ME14"
1.29849015102632e-05,"ME5"
5.70159199805926e-09,"ME2"
3.87120529147665e-06,"ME6"
0.193876897325821,"ME1"
0.116840321200314,"ME16"
0.519080335215029,"ME9"
7.90987376675165e-08,"ME10"
0.0458260841838752,"ME11"
2.44677360777609e-07,"ME3"
0.0183376020261684,"ME13"
0.00205838506607722,"ME15"
0.0053862614931189,"ME12"
0.282140795296971,"ME4"
0.205607200559588,"ME7"
0.0146230497720506,"ME0"
