"Age","n_samples_metab","mean_metab_score","sd_metab_score","zscore_metab"
"16 weeks",800,-0.0366395236087934,0.307063804328836,-0.391918229175769
"3 weeks",800,0.116058169848587,0.337281407995463,1.13659723641253
"59 weeks",800,-0.0718800941917103,0.272449012452211,-0.744679007236761
