"Condition","n_cells","mean_score","median_score","sd_score","zscore_rna"
"Ctrl",2016,0.011395397606479,0.00827202719638494,0.043854383469035,0.43347240187781
"1DPI",946,0.0063671348617549,0.000654284835076652,0.0441120438375531,-0.718348943605032
"3DPI",1499,0.00548893685385079,0.00193233708311635,0.0415079434187878,-0.919517271995549
"7DPI",2953,0.0147608461020225,0.0100376339650268,0.0475171669499889,1.20439381372277
