rank,MOL_ID,molecule_name,SMILES,composite_score,avg_score,max_score,n_hits,n_high,n_targets,consistency,top_targets
26,MOL002309,indirubin,O=C1C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,0.40738337139288583,0.4087044298648834,0.9776690602302551,3,2,96,0.7882156372070312,"DYRK1A(0.978), MAPK1(0.815), ALOX15(0.652), ZEB1(0.500), ICA1(0.500)"
27,MOL000422,kaempferol,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0.4072589874267578,0.41623663902282715,0.9526252150535583,3,3,96,0.79362952709198,"PTGS2(0.953), DYRK1A(0.853), NOX4(0.700), ZEB1(0.500), ICA1(0.500)"
28,MOL012921,stepharine,COc1cc2c3c(c1OC)C1(C=CC(=O)C=C1)C[C@@H]3NCC2,0.40716645618279773,0.4013097584247589,0.9989210367202759,2,2,96,0.7865598797798157,"PDE4B(0.999), HIF1A(0.747), ZEB1(0.500), EPHA2(0.500), FBXO31(0.500)"
29,MOL000503,Medicagol,O=c1oc2cc(O)ccc2c2oc3cc4c(cc3c12)OCO4,0.4069973399241765,0.40350499749183655,0.9940215945243835,2,2,96,0.7880818843841553,"DYRK1A(0.994), MAPK1(0.791), ICA1(0.500), ERN1(0.500), FBXO31(0.500)"
30,MOL012755,sanggenone H,CC1(C)C=Cc2c(O)ccc([C@@H]3CC(=O)c4c(O)cc(O)cc4O3)c2O1,0.40686511993408203,0.40446949005126953,0.9999339580535889,2,1,96,0.792874813079834,"HIF1A(1.000), DYRK1A(0.568), ZEB1(0.500), HMGB1(0.500), ERN1(0.500)"
31,MOL006411,obacunone,CC1(C)OC(=O)C=C[C@]2(C)[C@H]3CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]54[C@]3(C)C(=O)C[C@@H]12,0.40673176844914755,0.4029824733734131,0.9967700242996216,2,2,96,0.7814968824386597,"HIF1A(0.997), PDE4B(0.958), ZEB1(0.500), EPHA2(0.500), FBXO31(0.500)"
32,MOL000328,piperkadsin B,C=CCC1([C@H](C)[C@@H](OC(C)=O)c2ccc(OC)c(OC)c2)C=C(OC)C(OC)=CC1=O,0.4065632959206899,0.4001443386077881,0.9999569654464722,2,2,96,0.7819526791572571,"PDE4B(1.000), HIF1A(0.827), ZEB1(0.500), EPHA2(0.500), FBXO31(0.500)"
33,MOL008641,Norsanguinarine,c1cc2c(cnc3c4cc5c(cc4ccc23)OCO5)c2c1OCO2,0.4056405385335286,0.4006575345993042,0.9934760928153992,2,2,96,0.7841472625732422,"DYRK1A(0.993), MAPK1(0.798), ICA1(0.500), ERN1(0.500), FBXO31(0.500)"
34,MOL004827,Semilicoisoflavone B,CC1(C)C=Cc2cc(-c3coc4cc(O)cc(O)c4c3=O)cc(O)c2O1,0.4053945630788803,0.4037645757198334,0.9944604635238647,2,1,96,0.7912309765815735,"HIF1A(0.994), PTGS2(0.700), ZEB1(0.500), EPHA2(0.500), FBXO31(0.500)"
35,MOL008698,Dihydrocapsaicin,COc1cc(CNC(=O)CCCCCCC(C)C)ccc1O,0.4053844312826792,0.4071471691131592,0.9712123870849609,3,2,96,0.7858113646507263,"ALOX15(0.971), PDE4B(0.876), MAPK1(0.595), ZEB1(0.500), ICA1(0.500)"
36,MOL011100,bisindigotin,CC(C)(O)[C@H]1CC[C@@](C)([C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](O)[C@H]5C(C)(C)[C@@H](O)CC[C@]5(C)C4=CC[C@]23C)O1,0.40510485668977103,0.4086270034313202,0.9734578132629395,3,1,96,0.7949185967445374,"HIF1A(0.973), PDE4B(0.646), PTGS2(0.643), ZEB1(0.500), HMGB1(0.500)"
37,MOL000334,wallichinine,COc1cc2c(cc1OC)[C@@H]1Cc3cc(OC)c(OC)cc3[C@H](C2)[N+]1(C)C,0.4045615822076798,0.39906957745552063,0.9995792508125305,2,1,96,0.7867485880851746,"PDE4B(1.000), HIF1A(0.631), ZEB1(0.500), EPHA2(0.500), FBXO31(0.500)"
38,MOL011332,"10h-indolo,[3,2-b],quinoline",C[C@H]1CCCC(C)(C)/C1=C\Cc1ccoc1,0.4038253287474314,0.406538724899292,0.9617567658424377,3,2,96,0.7909569144248962,"PTGS2(0.962), ALOX15(0.778), MAPK1(0.517), ZEB1(0.500), ICA1(0.500)"
39,MOL001677,asperglaucide,CC(=O)OC[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1,0.4035930931568146,0.3993445634841919,0.9926879405975342,2,1,96,0.7900213599205017,"CTSB(0.993), PTGS2(0.520), ZEB1(0.500), HMGB1(0.500), ERN1(0.500)"
40,MOL002224,aurantiamide acetate,CC(=O)OC[C@H](Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1,0.4035930931568146,0.3993445634841919,0.9926879405975342,2,1,96,0.7900213599205017,"CTSB(0.993), PTGS2(0.520), ZEB1(0.500), HMGB1(0.500), ERN1(0.500)"
41,MOL004949,Isolicoflavonol,CC(C)=CCc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,0.4034272372722626,0.4070870876312256,0.9771470427513123,2,1,96,0.7962170243263245,"PTGS2(0.977), MAPK1(0.570), EPHA2(0.500), FBXO31(0.500), FOSL1(0.500)"
42,MOL001454,berberine,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,0.4032425731420517,0.3964017331600189,0.9977078437805176,2,1,96,0.785304844379425,"PDE4B(0.998), MAPK1(0.514), EPHA2(0.500), FBXO31(0.500), FOSL1(0.500)"
43,MOL004759,napelline,C=C1C2C[C@]3(C(C[C@@H]2O)[C@@]24C5[C@@H]3CC2[C@@](C)(CC[C@@H]4O)CN5CC)[C@@H]1O,0.4031577666600545,0.40389370918273926,0.9765154123306274,2,2,96,0.7835323810577393,"PDE4B(0.977), HIF1A(0.962), ZEB1(0.500), EPHA2(0.500), FBXO31(0.500)"
44,MOL010166,Jolkinolide B,CC1=C2[C@H]3O[C@]34CC[C@@H]3C(C)(C)CCC[C@@]3(C)[C@@H]4[C@H]3O[C@@]23OC1=O,0.40309183994928993,0.4016745090484619,0.9937509894371033,1,1,96,0.7967262268066406,"PDE4B(0.994), ZEB1(0.500), EPHA2(0.500), FBXO31(0.500), FOSL1(0.500)"
45,MOL001546,zizyphusine,COc1ccc2c(c1)[C@]1(CCN(C(=O)NC3CCCCC3)C1)C(=O)N2,0.4030823796987533,0.39686068892478943,0.9961901903152466,2,1,96,0.7853613495826721,"PDE4B(0.996), MAPK1(0.547), EPHA2(0.500), FBXO31(0.500), FOSL1(0.500)"
46,MOL006443,stepharanine,COc1cc2c(cc1O)-c1cc3ccc(O)c(OC)c3c[n+]1CC2,0.4029268950223922,0.39770981669425964,0.9931378960609436,2,1,96,0.7873637080192566,"PDE4B(0.993), MAPK1(0.533), EPHA2(0.500), FBXO31(0.500), FOSL1(0.500)"
47,MOL008217,Paniculogenin,C[C@@H]1CO[C@@]2(O[C@H]3C[C@H]4[C@@H]5C[C@H](O)[C@H]6C[C@@H](O)CC[C@]6(C)[C@H]5CC[C@]4(C)[C@H]3[C@@H]2C)[C@@H](O)C1,0.4028498599926631,0.3993043005466461,0.9983741044998169,1,1,96,0.7921708226203918,"PDE4B(0.998), ZEB1(0.500), EPHA2(0.500), FBXO31(0.500), FOSL1(0.500)"
48,MOL003663,sophoranol,O=C1CCCC2[C@H]3CCCN4CCC[C@@](O)(CN12)[C@@H]34,0.40277780691782633,0.39844226837158203,0.9997077584266663,1,1,96,0.7913690805435181,"PDE4B(1.000), ZEB1(0.500), EPHA2(0.500), FBXO31(0.500), FOSL1(0.500)"
49,MOL004382,Yinyanghuo A,Cc1cc(C)cc(S(=O)(=O)N2CCN3C(=O)OC4(CN(C(=O)C5CC5)C4)C3C2)c1,0.402687336007754,0.4002378284931183,0.9948793649673462,1,1,96,0.7947344779968262,"PDE4B(0.995), ZEB1(0.500), EPHA2(0.500), FBXO31(0.500), FOSL1(0.500)"
50,MOL001553,atroscine,C#CCNC(=O)C[C@@H]1CCN(C(=O)c2ccno2)C[C@@H]1CC,0.4026148001352946,0.3981051445007324,0.9992114305496216,1,1,96,0.7917430400848389,"PDE4B(0.999), ZEB1(0.500), EPHA2(0.500), FBXO31(0.500), FOSL1(0.500)"
